,C1,C2,C3,C4,C5,C6,C7,Age,Strength,ground_truth
0,540.0,0.0,0.0,162.0,2.5,1040.0,676.0,28,0.9674448968372589,0
1,540.0,0.0,0.0,162.0,2.5,1055.0,676.0,28,0.7419643010531017,0
2,332.5,142.5,0.0,228.0,0.0,932.0,594.0,270,0.4726416877115224,0
3,332.5,142.5,0.0,228.0,0.0,932.0,594.0,365,0.4823996289233623,0
4,198.6,132.4,0.0,192.0,0.0,978.4,825.5,360,0.5228057516878833,0
5,266.0,114.0,0.0,228.0,0.0,932.0,670.0,90,0.5568640588225189,0
6,380.0,95.0,0.0,228.0,0.0,932.0,594.0,365,0.5153584497242694,0
7,380.0,95.0,0.0,228.0,0.0,932.0,594.0,28,0.08545094183479895,1
8,266.0,114.0,0.0,228.0,0.0,932.0,670.0,28,0.5422185572677765,0
9,475.0,0.0,0.0,228.0,0.0,932.0,594.0,28,0.46043567145973985,0
10,198.6,132.4,0.0,192.0,0.0,978.4,825.5,90,0.4452919651600268,0
11,198.6,132.4,0.0,192.0,0.0,978.4,825.5,28,0.32005359995876925,0
12,427.5,47.5,0.0,228.0,0.0,932.0,594.0,270,0.5068202511639094,0
13,190.0,190.0,0.0,228.0,0.0,932.0,670.0,90,0.49827346286656693,0
14,304.0,76.0,0.0,228.0,0.0,932.0,670.0,28,0.5666305897713412,0
15,380.0,0.0,0.0,228.0,0.0,932.0,670.0,90,0.630100156333213,0
16,139.6,209.4,0.0,192.0,0.0,1047.0,806.9,90,0.461286055420983,0
17,342.0,38.0,0.0,228.0,0.0,932.0,670.0,365,0.6703860227799824,0
18,380.0,95.0,0.0,228.0,0.0,932.0,594.0,90,0.47630091566596233,0
19,475.0,0.0,0.0,228.0,0.0,932.0,594.0,180,0.5019326908210071,0
20,427.5,47.5,0.0,228.0,0.0,932.0,594.0,180,0.4921661598721847,0
21,139.6,209.4,0.0,192.0,0.0,1047.0,806.9,28,0.3227421876342146,0
22,139.6,209.4,0.0,192.0,0.0,1047.0,806.9,3,0.0714064835334742,0
23,139.6,209.4,0.0,192.0,0.0,1047.0,806.9,180,0.5217062653541549,0
24,380.0,0.0,0.0,228.0,0.0,932.0,670.0,365,0.6252211857272929,0
