,LeverPosition,ShipSpeed,GTT,GTn,GGn,Ts,Tp,T48,T1,T2,P48,P1,P2,Pexh,TIC,mf,CompressorDecay,TurbineDecay,ground_truth
0,1.138,0.0,289.964,1349.489,6677.38,7.584,7.584,464.006,288.0,550.563,1.0959999999999999,0.998,5.947,1.0190000000000001,7.1370000000000005,0.08199999999999999,0.0,0.0,0
1,2.088,0.125,6960.18,1376.1660000000002,6828.469,28.204,28.204,635.401,288.0,581.658,1.331,0.998,7.282,1.0190000000000001,10.655,0.287,0.0,0.0,0
2,3.1439999999999997,0.25,8379.229,1386.757,7111.811,60.358000000000004,60.358000000000004,606.002,288.0,587.587,1.389,0.998,7.574,1.02,13.085999999999999,0.259,0.0,0.0,0
3,4.1610000000000005,0.375,14724.395,1547.465,7792.63,113.774,113.774,661.471,288.0,613.851,1.6580000000000001,0.998,9.007,1.022,18.109,0.358,0.0,0.0,0
4,5.14,0.5,21636.432,1924.3129999999999,8494.777,175.30599999999998,175.30599999999998,731.4939999999999,288.0,645.6419999999999,2.0780000000000003,0.998,11.197000000000001,1.026,26.373,0.522,0.0,0.0,0
5,6.175,0.625,29792.731,2307.404,8828.36,246.278,246.278,800.434,288.0,676.3969999999999,2.501,0.998,13.356,1.03,35.76,0.708,0.0,0.0,0
6,7.148,0.75,38982.18,2678.086,9132.429,332.077,332.077,854.747,288.0,699.954,2.963,0.998,15.679,1.035,45.881,0.9079999999999999,0.0,0.0,0
7,8.206,1.3404170023252746,50996.808,3087.5609999999997,9318.562,437.98900000000003,437.98900000000003,952.122,288.0,741.77,3.576,0.998,18.632,1.04,62.44,1.236,0.4654170023252747,0.4654170023252747,1
8,9.3,1.0,72763.329,3560.395,9778.528,644.905,644.905,1115.797,288.0,789.0939999999999,4.498,0.998,22.811,1.0490000000000002,92.556,1.8319999999999999,0.0,0.0,0
9,1.138,0.0,379.88,1355.375,6683.916,7.915,7.915,464.017,288.0,550.985,1.1,0.998,5.962999999999999,1.0190000000000001,3.8789999999999996,0.079,0.0,0.03999999999999915,0
10,2.088,0.4285488060278047,6969.1759999999995,1371.94,6828.438,27.424,27.424,635.96,288.0,581.44,1.33,0.998,7.272,1.0190000000000001,12.785,0.289,0.3035488060278047,0.34354880602780385,1
11,3.1439999999999997,0.25,8379.306999999999,1386.7579999999998,7114.396,60.353,60.353,605.169,288.0,587.437,1.389,0.998,7.567,1.02,13.052,0.258,0.0,0.03999999999999915,0
12,4.1610000000000005,0.375,14724.544,1547.4660000000001,7794.646,113.795,113.795,660.568,288.0,613.688,1.6569999999999998,0.998,8.998,1.022,18.066,0.358,0.0,0.03999999999999915,0
13,5.14,0.5,21636.777,1924.3129999999999,8495.697,175.31400000000002,175.31400000000002,730.495,288.0,645.457,2.0780000000000003,0.998,11.185,1.026,26.316,0.521,0.0,0.03999999999999915,0
14,6.175,0.625,29792.983,2307.388,8829.394,246.295,246.295,799.298,288.0,676.17,2.501,0.998,13.342,1.03,35.687,0.7070000000000001,0.0,0.03999999999999915,0
15,7.148,0.75,38981.896,2678.086,9132.931999999999,332.208,332.208,853.701,288.0,699.779,2.963,0.998,15.661,1.035,45.799,0.907,0.0,0.03999999999999915,0
16,8.206,0.875,50997.234,3087.583,9318.935,438.098,438.098,951.073,288.0,741.605,3.575,0.998,18.611,1.04,62.342,1.234,0.0,0.03999999999999915,0
17,9.3,1.0,72763.515,3560.401,9779.311,644.9630000000001,644.9630000000001,1114.887,288.0,788.949,4.496,0.998,22.784000000000002,1.0490000000000002,92.448,1.83,0.0,0.03999999999999915,0
18,1.138,0.0,753.0210000000001,1371.886,6697.838000000001,8.857999999999999,8.857999999999999,473.665,288.0,553.143,1.117,0.998,6.047000000000001,1.0190000000000001,0.0,0.08800000000000001,0.0,0.0799999999999983,0
19,2.088,0.125,6961.726,1371.057,6830.3640000000005,27.259,27.259,635.133,288.0,581.244,1.33,0.998,7.2620000000000005,1.0190000000000001,13.192,0.289,0.0,0.0799999999999983,0
20,3.1439999999999997,0.25,8379.456,1386.759,7116.986999999999,60.356,60.356,604.3380000000001,288.0,587.286,1.389,0.998,7.559,1.02,13.017999999999999,0.258,0.0,0.0799999999999983,0
21,4.1610000000000005,0.375,14724.616000000002,1547.4660000000001,7796.656999999999,113.801,113.801,659.666,288.0,613.524,1.6569999999999998,0.998,8.988999999999999,1.022,18.023,0.35700000000000004,0.0,0.0799999999999983,0
22,5.14,0.5,21636.925,1924.315,8496.61,175.282,175.282,729.497,288.0,645.2719999999999,2.0780000000000003,0.998,11.174000000000001,1.026,26.26,0.52,0.0,0.0799999999999983,0
23,6.175,0.625,29793.328,2307.377,8830.433,246.22,246.22,798.166,288.0,675.943,2.501,0.998,13.328,1.03,35.613,0.705,0.0,0.0799999999999983,0
24,7.148,0.75,38981.432,2678.086,9133.431999999999,332.108,332.108,852.658,288.0,699.6039999999999,2.9619999999999997,0.998,15.644,1.035,45.717,0.905,0.0,0.0799999999999983,0
