,World2018,National2018,World2019,National2019,World2020,National2020,Country,SIZE,FOCUS,RESEARCH INTENSITY,AGE,STATUS,Academic Reputation,Employer Reputation,Faculty Student,Citations per Faculty,International Faculty,International Students,ground_truth
0,1.0,1.0,1.0,1.0,1,1.0,55,1,0,3,5.0,1,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9979797979797981,1.0,0.9404040404040405,0
1,2.0,2.0,2.0,2.0,2,2.0,55,0,1,3,5.0,1,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9858585858585859,0.9979736575481256,0.6737373737373739,0
2,3.0,3.0,3.0,3.0,3,3.0,55,0,1,3,5.0,1,0.9999999999999999,0.9999999999999999,0.9866666666666667,0.995959595959596,0.8611955420466059,0.6181818181818183,0
3,6.0,2.0,5.0,1.0,4,1.0,54,0,1,3,5.0,0,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.8454545454545456,0.9969604863221885,0.984848484848485,0
4,4.0,4.0,4.0,4.0,5,4.0,55,2,0,3,5.0,1,1.2887767151706317,1.1200045555727842,1.3116457380396547,1.3116457380396547,1.3055667106840319,1.1833629097568266,1
5,10.0,1.0,7.0,1.0,6,1.0,48,0,0,3,5.0,0,0.9833679833679833,0.9663608562691132,0.8461538461538461,0.9838383838383841,1.0,0.9797979797979799,0
6,5.0,1.0,6.0,2.0,7,2.0,54,0,1,3,5.0,0,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.7393939393939395,1.0,0.9757575757575758,0
7,7.0,3.0,10.0,4.0,8,3.0,54,3,1,3,5.0,0,0.9927234927234926,0.9867482161060143,0.9805128205128205,0.7646464646464648,0.9908814589665654,1.0,0
8,8.0,4.0,8.0,3.0,9,4.0,54,0,1,3,5.0,0,0.9854469854469853,0.998980632008155,0.997948717948718,0.7181818181818183,1.0,1.0,0
9,9.0,5.0,9.0,5.0,10,5.0,55,0,1,3,5.0,1,0.9948024948024948,0.9357798165137615,0.9641025641025641,0.782828282828283,0.6980749746707194,0.8080808080808082,0
10,11.0,1.0,12.0,2.0,11,1.0,43,0,1,3,3.0,0,0.9178794178794177,0.9367991845056065,0.9374358974358975,0.8868686868686869,1.0,0.7393939393939395,0
11,15.0,2.0,11.0,1.0,12,2.0,43,3,1,3,5.0,0,0.9979209979209979,0.9918450560652395,0.88,0.7545454545454546,1.0,0.7616161616161617,0
12,13.0,6.0,13.0,6.0,13,6.0,55,1,0,3,5.0,1,0.9989604989604989,0.9857288481141692,0.6994871794871795,1.0,0.6443768996960487,0.6727272727272727,0
13,14.0,7.0,14.0,7.0,14,7.0,55,0,1,3,5.0,1,1.3009777230683668,1.216631909364755,0.9626963647870085,1.264996287086931,1.251674620573775,1.0346932567839007,1
14,19.0,11.0,19.0,10.0,15,8.0,55,0,1,3,5.0,1,1.1413915739626126,1.1208304341354178,1.1850506176216562,0.857777890348929,1.022943221471707,0.8173738499448886,1
15,25.0,1.0,17.0,1.0,16,1.0,8,3,1,3,5.0,0,0.9729729729729729,0.9908256880733944,0.9220512820512821,0.8020202020202022,0.6757852077001014,0.29393939393939394,0
16,16.0,8.0,15.0,8.0,17,9.0,55,0,1,3,5.0,1,1.20693962967421,1.2069597627218662,1.207979130713711,0.7382821610167416,0.986094632233468,0.777676100410681,1
17,18.0,10.0,16.0,9.0,18,10.0,55,0,1,3,5.0,1,0.8315204993767256,0.8101741706909473,0.8346390024952286,0.35989152774775396,0.22774943815885584,0.8033258711820974,1
18,12.0,2.0,22.0,2.0,19,2.0,48,1,2,3,5.0,0,0.7463617463617462,0.7716615698267074,0.9651282051282051,0.988888888888889,1.0,1.0,0
19,24.0,6.0,18.0,5.0,20,5.0,54,3,1,3,5.0,0,0.9740124740124739,0.9357798165137615,0.8523076923076922,0.5252525252525253,0.9797365754812564,0.9858585858585859,0
20,22.0,13.0,20.0,11.0,21,11.0,55,3,1,3,5.0,0,0.9885654885654885,0.9429153924566769,0.9076923076923077,0.6121212121212123,0.7943262411347519,0.4353535353535354,0
21,38.0,2.0,30.0,2.0,22,2.0,8,3,1,3,5.0,0,0.9906444906444906,0.9959225280326197,0.7158974358974358,0.7272727272727274,0.7031408308004053,0.36262626262626263,0
22,29.0,1.0,23.0,1.0,23,1.0,24,0,1,3,5.0,0,0.9999999999999999,0.9908256880733944,0.9312820512820512,0.6757575757575759,0.09929078014184398,0.2545454545454546,0
23,17.0,9.0,21.0,12.0,24,12.0,55,0,1,3,5.0,1,0.8783783783783783,0.5168195718654434,0.9999999999999999,0.7737373737373738,0.6838905775075989,0.8131313131313133,0
24,21.0,12.0,26.0,13.0,25,13.0,55,0,1,3,5.0,1,0.8856548856548856,0.8389398572884812,0.9938461538461539,0.8010101010101011,0.11246200607902736,0.5888888888888889,0
25,26.0,1.0,25.0,1.0,26,1.0,17,0,1,3,5.0,0,0.9719334719334719,0.8226299694189602,0.8687179487179487,0.43939393939393945,1.0,0.9909090909090911,0
26,34.0,7.0,29.0,6.0,27,6.0,54,3,1,3,5.0,0,0.946985446985447,0.9765545361875637,0.7343589743589742,0.5101010101010102,0.9250253292806484,0.9858585858585859,0
27,27.0,14.0,27.0,14.0,28,14.0,55,3,1,3,5.0,0,0.9999999999999999,0.998980632008155,0.29128205128205126,0.976767676767677,0.9229989868287742,0.390909090909091,0
28,20.0,1.0,24.0,1.0,29,1.0,1,0,1,3,4.0,0,0.9677754677754679,0.8093781855249744,0.358974358974359,0.8727272727272729,1.0,0.9979797979797981,0
29,31.0,1.0,28.0,1.0,30,1.0,6,3,1,3,5.0,0,0.9885654885654885,0.9622833843017329,0.7076923076923076,0.43333333333333335,0.9766970618034448,0.9292929292929294,0
30,28.0,15.0,34.0,16.0,31,15.0,55,0,1,3,5.0,1,0.8534303534303534,0.7981651376146789,0.9999999999999999,0.6242424242424243,0.7578520770010132,0.48484848484848486,0
31,30.0,2.0,37.0,2.0,32,2.0,17,1,0,3,3.0,0,0.844074844074844,0.7074413863404688,0.5846153846153846,0.893939393939394,1.0,0.8737373737373738,0
32,23.0,5.0,31.0,7.0,33,7.0,54,0,1,3,5.0,0,0.8804573804573804,0.8002038735983691,0.8184615384615385,0.5151515151515152,0.9848024316109423,0.9979797979797981,0
33,36.0,2.0,35.0,2.0,34,2.0,24,0,1,3,5.0,0,0.9864864864864865,0.9235474006116208,0.962051282051282,0.5272727272727274,0.14285714285714285,0.16666666666666669,0
34,32.0,2.0,33.0,2.0,35,2.0,6,0,1,3,5.0,0,0.9189189189189189,0.9367991845056065,0.6235897435897435,0.5797979797979799,0.9361702127659576,0.9616161616161618,0
35,33.0,16.0,32.0,15.0,36,16.0,55,3,1,3,5.0,0,0.9999999999999999,0.9969418960244648,0.39076923076923076,0.881818181818182,0.497467071935157,0.3757575757575758,0
36,37.0,1.0,36.0,1.0,37,1.0,45,0,1,3,4.0,0,0.9677754677754679,0.9092762487257899,0.8769230769230769,0.6121212121212123,0.18135764944275581,0.11010101010101012,0
37,42.0,2.0,39.0,2.0,38,2.0,1,3,1,3,5.0,0,0.9916839916839916,0.9806320081549439,0.22153846153846157,0.7474747474747476,0.9756838905775076,1.0,0
38,52.0,19.0,43.0,18.0,39,17.0,55,3,1,3,5.0,1,0.9573804573804574,0.9551478083588175,0.9753846153846154,0.23232323232323232,0.326241134751773,0.9333333333333336,0
39,40.0,3.0,44.0,3.0,40,3.0,8,3,1,3,5.0,0,0.8274428274428275,0.9367991845056065,0.8615384615384615,0.5737373737373738,0.9260385005065858,0.42323232323232324,0
40,41.0,2.0,40.0,2.0,41,2.0,45,1,0,3,3.0,0,0.844074844074844,0.7400611620795107,0.7323076923076923,0.9808080808080809,0.24822695035460995,0.09191919191919193,0
41,50.0,5.0,42.0,3.0,42,3.0,1,3,1,3,5.0,0,0.9740124740124739,0.963302752293578,0.21641025641025644,0.7060606060606063,1.0,1.0,0
42,45.0,3.0,45.0,4.0,43,4.0,1,3,1,3,4.0,0,0.9085239085239085,0.9561671763506626,0.17743589743589744,0.8434343434343435,1.0,0.984848484848485,0
43,35.0,8.0,38.0,8.0,44,8.0,54,1,3,3,5.0,0,0.7806652806652807,0.9969418960244648,0.33128205128205124,0.9101010101010102,1.0,1.0,0
44,39.0,17.0,41.0,17.0,45,18.0,55,3,1,3,4.0,0,0.9189189189189189,0.5086646279306829,0.5928205128205127,0.781818181818182,0.6028368794326241,0.7000000000000001,0
45,46.0,3.0,49.0,3.0,46,3.0,17,0,1,3,4.0,0,1.254948499603795,0.988271448523074,1.0494460741013694,0.9383038829591783,1.3807281253834205,1.296889741545037,1
46,48.0,4.0,48.0,5.0,47,5.0,1,3,1,3,5.0,0,0.8804573804573804,0.81855249745158,0.2584615384615384,0.8161616161616162,1.0,0.9949494949494951,0
47,47.0,18.0,46.0,19.0,48,19.0,55,0,1,3,5.0,1,0.7422037422037422,0.7706422018348623,0.4205128205128205,0.9424242424242425,0.8338399189463019,0.9989898989898992,0
48,44.0,9.0,51.0,9.0,49,9.0,54,0,1,3,5.0,0,0.3829110563608068,0.4650941568925313,0.34717994062969104,0.24029571374546432,0.5187581496547088,0.3796896531394037,1
49,54.0,1.0,52.0,1.0,50,1.0,31,0,0,3,5.0,0,0.7006237006237006,0.8797145769622834,0.4502564102564102,0.8989898989898991,0.9929078014184397,0.8767676767676769,0
50,51.0,3.0,47.0,3.0,51,3.0,6,3,1,3,5.0,0,0.8076792613951147,0.7267338134771899,0.2850181387339922,0.2550259087417623,0.7456525397939252,0.6297733834892371,1
51,49.0,4.0,55.0,4.0,52,4.0,17,1,0,3,3.0,0,0.5738045738045738,0.4016309887869521,0.8943589743589744,0.8929292929292931,1.0,0.9525252525252527,0
