,f,alpha,c,U_infinity,delta,SSPL,ground_truth
0,800,0.0,0.3048,71.3,0.00266337,0.6068285159677718,0
1,1000,0.0,0.3048,71.3,0.00266337,0.5802377217007471,0
2,1250,0.0,0.3048,71.3,0.00266337,0.6001808174010157,0
3,1600,0.0,0.3048,71.3,0.00266337,0.6437897199989364,0
4,2000,0.0,0.3048,71.3,0.00266337,0.6403329167442231,0
5,2500,0.0,0.3048,71.3,0.00266337,0.5900763155795463,0
6,3150,0.0,0.3048,71.3,0.00266337,0.5802377217007471,0
7,4000,0.0,0.3048,71.3,0.00266337,0.5233334219693146,0
8,5000,0.0,0.3048,71.3,0.00266337,0.47653362405935074,0
9,6300,0.0,0.3048,71.3,0.00266337,0.42973382614938727,0
10,8000,0.0,0.3048,71.3,0.00266337,0.3661818278511979,0
11,10000,0.0,0.3048,71.3,0.00266337,0.31938202994123444,0
12,12500,0.0,0.3048,71.3,0.00266337,0.23562102800010631,0
13,16000,0.0,0.3048,71.3,0.00266337,0.14202143218017937,0
14,500,0.0,0.3048,55.5,0.00283081,0.8097444336934723,1
15,630,0.0,0.3048,55.5,0.00283081,0.646581753396974,0
16,800,0.0,0.3048,55.5,0.00283081,0.6569521631611139,0
17,1000,0.0,0.3048,55.5,0.00283081,0.627170473582046,0
18,1250,0.0,0.3048,55.5,0.00283081,0.6037705746270641,0
19,1600,0.0,0.3048,55.5,0.00283081,0.6277022894673867,0
20,2000,0.0,0.3048,55.5,0.00283081,0.6178636955885874,0
21,2500,0.0,0.3048,55.5,0.00283081,0.5511208019783553,0
22,3150,0.0,0.3048,55.5,0.00283081,0.5279868109660439,0
23,4000,0.0,0.3048,55.5,0.00283081,0.47134841917728076,0
24,5000,0.0,0.3048,55.5,0.00283081,0.15950696778081008,1
25,6300,0.0,0.3048,55.5,0.00283081,0.3881192331214933,0
26,8000,0.0,0.3048,55.5,0.00283081,0.3482330417209565,0
27,10000,0.0,0.3048,55.5,0.00283081,0.25782434121307185,0
28,12500,0.0,0.3048,55.5,0.00283081,0.20464275267902243,0
29,200,0.0,0.3048,39.6,0.00310138,0.39218762464434853,0
30,250,0.0,0.3048,39.6,0.00310138,0.4238306698221077,0
31,315,0.0,0.3048,39.6,0.00310138,0.5158348179860135,0
32,400,0.0,0.3048,39.6,0.00310138,0.5698141303480737,0
33,500,0.0,0.3048,39.6,0.00310138,0.6269843380221771,0
34,630,0.0,0.3048,39.6,0.00310138,0.6713909644481082,0
35,800,0.0,0.3048,39.6,0.00310138,0.6838886377536095,0
36,1000,0.0,0.3048,39.6,0.00310138,0.6519796846331802,0
37,1250,0.0,0.3048,39.6,0.00310138,0.5881617783923208,0
38,1600,0.0,0.3048,39.6,0.00310138,0.549605126705135,0
39,2000,0.0,0.3048,39.6,0.00310138,0.5400324407690058,0
40,2500,0.0,0.3048,39.6,0.00310138,0.4791395218975194,0
41,3150,0.0,0.3048,39.6,0.00310138,0.4504214640891324,0
42,4000,0.0,0.3048,39.6,0.00310138,0.4214374983380753,0
43,5000,0.0,0.3048,39.6,0.00310138,0.38314675459356007,0
44,6300,0.0,0.3048,39.6,0.00310138,0.3416651155370012,0
45,8000,0.0,0.3048,39.6,0.00310138,0.3031084638498154,0
46,10000,0.0,0.3048,39.6,0.00310138,0.23290876698486995,0
47,12500,0.0,0.3048,39.6,0.00310138,0.16589996543196772,0
48,200,0.0,0.3048,31.7,0.00331266,0.36735182279894696,0
49,250,0.0,0.3048,31.7,0.00331266,0.40457893477278173,0
50,315,0.0,0.3048,31.7,0.00331266,0.5154625468662752,0
51,400,0.0,0.3048,31.7,0.00331266,0.5760895577950915,0
52,500,0.0,0.3048,31.7,0.00331266,0.3333779909395076,1
53,630,0.0,0.3048,31.7,0.00331266,0.6837822745765418,0
54,800,0.0,0.3048,31.7,0.00331266,0.6875049857739257,0
55,1000,0.0,0.3048,31.7,0.00331266,0.9130202340603903,1
56,1250,0.0,0.3048,31.7,0.00331266,0.5577419097508445,0
57,1600,0.0,0.3048,31.7,0.00331266,0.5048262291594652,0
58,2000,0.0,0.3048,31.7,0.00331266,0.5050921371021353,0
59,2500,0.0,0.3048,31.7,0.00331266,0.46201505038955526,0
60,3150,0.0,0.3048,31.7,0.00331266,0.4189379636769752,0
61,4000,0.0,0.3048,31.7,0.00331266,0.39261307735262063,0
62,5000,0.0,0.3048,31.7,0.00331266,0.1747795058851535,1
63,6300,0.0,0.3048,31.7,0.00331266,0.27641130640572253,0
64,8000,0.0,0.3048,31.7,0.00331266,0.18972531709522178,0
65,10000,0.0,0.3048,31.7,0.00331266,0.1298960299944163,0
66,800,1.5,0.3048,71.3,0.00336729,1.0577279388557375,1
67,1000,1.5,0.3048,71.3,0.00336729,0.601271039965964,0
68,1250,1.5,0.3048,71.3,0.00336729,0.5980801446539208,0
69,1600,1.5,0.3048,71.3,0.00336729,0.61828914829686,0
70,2000,1.5,0.3048,71.3,0.00336729,0.6185550562395301,0
71,2500,1.5,0.3048,71.3,0.00336729,0.5619166644507674,0
72,3150,1.5,0.3048,71.3,0.00336729,0.5321349748716995,0
73,4000,1.5,0.3048,71.3,0.00336729,0.4887919802164493,0
74,5000,1.5,0.3048,71.3,0.00336729,0.4321535884276866,0
75,6300,1.5,0.3048,71.3,0.00336729,0.3920014890844792,0
76,8000,1.5,0.3048,71.3,0.00336729,0.3188768048501611,0
77,10000,1.5,0.3048,71.3,0.00336729,0.26888611162815446,0
78,12500,1.5,0.3048,71.3,0.00336729,0.15534342010795843,0
79,16000,1.5,0.3048,71.3,0.00336729,0.08514372324301345,0
80,315,1.5,0.3048,39.6,0.00392107,0.49115856090621435,0
81,400,1.5,0.3048,39.6,0.00392107,0.5483287685803178,0
82,500,1.5,0.3048,39.6,0.00392107,0.6190602813306034,0
83,630,1.5,0.3048,39.6,0.00392107,0.6629350918711947,0
84,800,1.5,0.3048,39.6,0.00392107,0.6767623048900475,0
85,1000,1.5,0.3048,39.6,0.00392107,0.6435238120562663,0
86,1250,1.5,0.3048,39.6,0.00392107,0.5805036296434176,0
87,1600,1.5,0.3048,39.6,0.00392107,0.5007312468423435,0
88,2000,1.5,0.3048,39.6,0.00392107,0.4978062594729704,0
89,2500,1.5,0.3048,39.6,0.00392107,0.30150012565233736,1
90,3150,1.5,0.3048,39.6,0.00392107,0.41829978461456685,0
91,4000,1.5,0.3048,39.6,0.00392107,0.3818703964687429,0
92,5000,1.5,0.3048,39.6,0.00392107,0.3419842050682056,0
93,6300,1.5,0.3048,39.6,0.00392107,0.30236392161033887,0
94,8000,1.5,0.3048,39.6,0.00392107,-0.09568068706010735,1
95,10000,1.5,0.3048,39.6,0.00392107,0.14920094663227612,0
96,12500,1.5,0.3048,39.6,0.00392107,0.07261945914324475,0
97,400,3.0,0.3048,71.3,0.00425727,0.388993595215836,1
98,500,3.0,0.3048,71.3,0.00425727,0.6667375754513789,0
99,630,3.0,0.3048,71.3,0.00425727,0.6906692902917007,0
100,800,3.0,0.3048,71.3,0.00425727,0.6943920014890845,0
101,1000,3.0,0.3048,71.3,0.00425727,0.6813625122982421,0
102,1250,3.0,0.3048,71.3,0.00425727,0.6449331241524185,0
103,1600,3.0,0.3048,71.3,0.00425727,0.6151514345733506,0
104,2000,3.0,0.3048,71.3,0.00425727,0.5888265482489965,0
105,2500,3.0,0.3048,71.3,0.00425727,0.5489403568484592,0
106,3150,3.0,0.3048,71.3,0.00425727,0.4821974632382271,0
107,4000,3.0,0.3048,71.3,0.00425727,0.4489589704044459,0
108,5000,3.0,0.3048,71.3,0.00425727,0.3923205786156836,0
109,6300,3.0,0.3048,71.3,0.00425727,0.33913899008163373,0
110,8000,3.0,0.3048,71.3,0.00425727,0.2992527986810969,0
111,10000,3.0,0.3048,71.3,0.00425727,0.18198739596351787,0
112,400,3.0,0.3048,55.5,0.00452492,0.6057117026085574,0
113,500,3.0,0.3048,55.5,0.00452492,0.6594251070279471,0
114,630,3.0,0.3048,55.5,0.00452492,0.6963863110591113,0
115,800,3.0,0.3048,55.5,0.00452492,0.38825469719837175,1
116,1000,3.0,0.3048,55.5,0.00452492,0.6900045204350258,0
117,1250,3.0,0.3048,55.5,0.00452492,0.6368229319009759,0
118,1600,3.0,0.3048,55.5,0.00452492,0.5599755364692744,0
119,2000,3.0,0.3048,55.5,0.00452492,0.5235461483234505,0
120,2500,3.0,0.3048,55.5,0.00452492,0.506793947935225,0
121,3150,3.0,0.3048,55.5,0.00452492,0.4469646608344191,0
122,4000,3.0,0.3048,55.5,0.00452492,0.4070784694338818,0
123,5000,3.0,0.3048,55.5,0.00452492,0.37038317334538773,0
124,6300,3.0,0.3048,55.5,0.00452492,0.3270401786901376,0
125,8000,3.0,0.3048,55.5,0.00452492,0.27704948546813135,0
126,10000,3.0,0.3048,55.5,0.00452492,0.23370649081288075,0
127,315,3.0,0.3048,39.6,0.00495741,0.5300077113303376,0
128,400,3.0,0.3048,39.6,0.00495741,0.5874438269471107,0
129,500,3.0,0.3048,39.6,0.00495741,0.6448799425638847,0
130,630,3.0,0.3048,39.6,0.00495741,0.6890206610471457,0
131,800,3.0,0.3048,39.6,0.00495741,0.9987832691706804,1
132,1000,3.0,0.3048,39.6,0.00495741,0.6629616826654616,0
133,1250,3.0,0.3048,39.6,0.00495741,0.5962187890552295,0
134,1600,3.0,0.3048,39.6,0.00495741,0.5159145903688143,0
135,2000,3.0,0.3048,39.6,0.00495741,0.4560853032680088,0
136,2500,3.0,0.3048,39.6,0.00495741,0.07342003406497932,1
137,3150,3.0,0.3048,39.6,0.00495741,0.41327412449809886,0
138,4000,3.0,0.3048,39.6,0.00495741,0.35663573270933613,0
139,5000,3.0,0.3048,39.6,0.00495741,0.3300449384423114,0
140,6300,3.0,0.3048,39.6,0.00495741,0.28351104847501807,0
141,8000,3.0,0.3048,39.6,0.00495741,0.193368255909804,0
142,315,3.0,0.3048,31.7,0.00529514,0.5248490972425346,0
143,400,3.0,0.3048,31.7,0.00529514,0.32396588764404033,1
144,500,3.0,0.3048,31.7,0.00529514,0.6426463158454547,0
145,630,3.0,0.3048,31.7,0.00529514,0.6732257292525325,0
146,800,3.0,0.3048,31.7,0.00529514,0.6734916371952031,0
147,1000,3.0,0.3048,31.7,0.00529514,0.148194850345025,1
148,1250,3.0,0.3048,31.7,0.00529514,0.5705852633818171,0
149,1600,3.0,0.3048,31.7,0.00529514,0.4974605791474991,0
150,2000,3.0,0.3048,31.7,0.00529514,0.44427899061344966,0
151,2500,3.0,0.3048,31.7,0.00529514,0.43124950142260765,0
152,3150,3.0,0.3048,31.7,0.00529514,0.3916292179647409,0
153,4000,3.0,0.3048,31.7,0.00529514,0.32515223229717893,0
154,5000,3.0,0.3048,31.7,0.00529514,0.2786183423298856,0
155,6300,3.0,0.3048,31.7,0.00529514,0.16853245406440331,0
156,250,4.0,0.3048,71.3,0.00497773,0.6119871300555748,0
157,315,4.0,0.3048,71.3,0.00497773,0.6593187438508794,0
158,400,4.0,0.3048,71.3,0.00497773,0.6965458558247133,0
159,500,4.0,0.3048,71.3,0.00497773,0.7268593612891219,0
160,630,4.0,0.3048,71.3,0.00497773,0.7507910761294445,0
161,800,4.0,0.3048,71.3,0.00497773,0.7545137873268275,0
162,1000,4.0,0.3048,71.3,0.00497773,0.8967553296788546,1
163,1250,4.0,0.3048,71.3,0.00497773,0.6917595128566494,0
164,1600,4.0,0.3048,71.3,0.00497773,0.2507444387143992,1
165,2000,4.0,0.3048,71.3,0.00497773,0.5588055415215254,0
166,2500,4.0,0.3048,71.3,0.00497773,0.5423192490759701,0
167,3150,4.0,0.3048,71.3,0.00497773,0.48913766054192065,0
168,4000,4.0,0.3048,71.3,0.00497773,0.42957428138378484,0
169,5000,4.0,0.3048,71.3,0.00497773,0.3830403914164915,0
170,6300,4.0,0.3048,71.3,0.00497773,0.3399633047039119,0
171,8000,4.0,0.3048,71.3,0.00497773,0.2734863190363499,0
172,10000,4.0,0.3048,71.3,0.00497773,0.20009572685936128,0
173,12500,4.0,0.3048,71.3,0.00497773,0.10702794692477502,0
174,250,4.0,0.3048,39.6,0.00579636,0.5361501848060204,0
175,315,4.0,0.3048,39.6,0.00579636,0.6238998058872021,0
176,400,4.0,0.3048,39.6,0.00579636,0.6714973276251759,0
177,500,4.0,0.3048,39.6,0.00579636,0.7124471507963945,0
178,630,4.0,0.3048,39.6,0.00579636,0.7363788656367163,0
179,800,4.0,0.3048,39.6,0.00579636,0.9228530117784812,1
180,1000,4.0,0.3048,39.6,0.00579636,0.6738904991092083,0
181,1250,4.0,0.3048,39.6,0.00579636,0.6106044087536899,0
