,Year,Month,Day,Date,Latitude,Longitude,Zonal_Winds,Meridional_Winds,Humidity,Air_Temp,Sea_Surface_Temp,ground_truth
16670,92,2,29,920229,2.03,-110.07,0.2488888888888889,0.42727272727272725,0.6092544987146531,0.6756548536209552,0.730106644790812,0
17617,96,8,28,960828,2.11,-110.41,0.18222222222222223,0.6636363636363636,0.6349614395886891,0.2627118644067796,0.2690730106644792,0
31329,93,7,30,930730,-2.01,-109.98,0.1866666666666667,0.5727272727272728,0.6889460154241647,0.42449922958397557,0.42001640689089426,0
65062,96,4,3,960403,-5.01,-139.91,0.2844444444444445,0.4409090909090909,0.6529562982005137,0.6856702619414488,0.730106644790812,0
81459,95,9,4,950904,8.0,-170.01,0.29333333333333333,0.4909090909090909,0.6221079691516711,0.7272727272727273,0.8465955701394585,0
33636,94,12,26,941226,-2.1,-124.87,0.2,0.5363636363636364,0.47557840616966596,0.5916795069337442,0.6062346185397867,0
85805,96,9,2,960902,-7.07,-125.4,0.16888888888888892,0.4909090909090909,0.503856041131105,0.5639445300462249,0.6095159967186219,0
41595,96,3,8,960308,-2.16,-170.04,0.12444444444444447,0.3090909090909091,0.5501285347043701,0.6471494607087831,0.6570959803117309,0
87168,94,8,5,940805,-8.27,-155.0,0.2355555555555556,0.509090909090909,0.6375321336760926,0.6718027734976888,0.8154224774405252,0
74361,89,12,25,891225,6.98,-147.16,0.2488888888888889,0.45454545454545453,0.6349614395886891,0.6078582434514639,0.7432321575061525,0
46288,97,5,1,970501,5.02,-109.97,0.528888888888889,0.3181818181818182,0.3573264781490999,0.7496147919876732,0.8621821164889254,0
49761,97,2,18,970218,4.92,-139.85,0.1111111111111111,0.41363636363636364,0.7480719794344473,0.5246533127889061,0.6406890894175552,0
57627,96,8,23,960823,4.97,-169.92,0.49333333333333335,0.6772727272727272,0.3933161953727504,0.724191063174114,0.8424938474159145,0
37673,96,9,22,960922,-1.98,-155.02,0.16444444444444445,0.3909090909090909,0.537275064267352,0.6055469953775037,0.6242821985233795,0
84277,94,12,2,941202,-8.01,-109.95,0.4575283694278212,0.8832859451853969,0.7175112314672383,0.7779700746152891,0.8040965947491228,1
87634,95,11,17,951117,-8.29,-154.95,0.2977777777777778,0.25,0.3419023136246786,0.728813559322034,0.7940935192780967,0
50761,97,12,23,971223,4.97,147.02,0.3066666666666667,0.45454545454545453,0.6401028277634961,0.659476117103236,0.8342904019688269,0
15978,96,5,11,960511,-0.02,-95.0,0.3777777777777778,0.55,0.8663239074550129,0.37904468412942993,0.39950779327317476,0
36864,92,5,1,920501,-2.03,-154.98,0.28,0.38636363636363635,0.519280205655527,0.8066255778120188,0.8835110746513535,0
4881,93,8,25,930825,0.0,142.98,0.36022009353924134,0.6342604975796453,0.7271209790005381,0.7434284482730199,0.8735661877877144,1
27174,93,3,3,930303,1.99,-170.02,0.21333333333333337,0.5227272727272727,0.6580976863753212,0.6756548536209552,0.7030352748154223,0
47386,95,10,10,951010,5.27,-124.88,0.3466666666666667,0.7863636363636364,0.6889460154241647,0.49306625577812047,0.5906480721903198,0
43380,97,1,5,970105,-2.01,-179.98,0.47555555555555556,0.2727272727272727,0.45244215938303345,0.6764252696456088,0.7645611156685805,0
81848,96,10,3,961003,8.03,-170.01,0.38222222222222224,0.45454545454545453,0.46529562982005146,0.7311248073959942,0.8843314191960623,0
77390,95,3,27,950327,7.95,-155.01,0.15111111111111114,0.2409090909090909,0.5218508997429305,0.7164869029275811,0.7514356029532401,0
32572,92,1,10,920110,-2.03,-124.9,0.2088888888888889,0.5772727272727273,0.5089974293059125,0.6556240369799695,0.6751435602953237,0
7781,92,6,11,920611,0.01,156.03,0.4133333333333334,0.41363636363636364,0.5784061696658096,0.7973805855161789,0.9089417555373256,0
16823,92,7,31,920731,2.13,-110.25,0.031111111111111145,0.5772727272727273,0.3676092544987146,0.4899845916795069,0.546349466776046,0
22125,92,9,3,920903,2.0,-155.03,0.2266666666666667,0.5681818181818181,0.4267352185089972,0.595531587057011,0.6817063166529942,0
41489,94,11,13,941113,-2.17,-170.02,0.35111111111111115,0.3136363636363636,0.3933161953727504,0.8112480739599384,0.9606234618539786,0
70635,93,5,22,930522,-5.02,-169.98,0.3111111111111111,0.4181818181818182,0.557840616966581,0.7966101694915253,0.9146841673502872,0
54632,93,9,8,930908,5.05,165.0,0.45333333333333337,0.36818181818181817,0.5475578406169666,0.7411402157164868,0.8958162428219851,0
9377,93,8,5,930805,-0.01,157.51,0.6133333333333334,0.3409090909090909,0.6478149100257071,0.6741140215716486,0.7908121410992615,0
9724,91,8,21,910821,0.01,165.01,0.39111111111111113,0.5681818181818181,0.473007712082262,0.6895223420647147,0.9212469237079572,0
62277,92,6,25,920625,-5.04,-124.88,0.15555555555555556,0.55,0.3778920308483291,0.706471494607088,0.7046759639048399,0
74048,98,3,7,980307,-5.02,-95.08,0.23111111111111113,0.65,0.6221079691516711,0.771186440677966,0.8318293683347004,0
77433,95,5,12,950512,8.0,-154.98,0.17333333333333334,0.2090909090909091,0.6812339331619537,0.7172573189522342,0.7662018047579982,0
88926,94,3,26,940326,-7.97,164.98,0.5822222222222223,0.3,0.7917737789203083,0.6417565485362096,0.8679245283018866,0
79240,92,9,27,920927,8.0,164.99,0.004972445665594627,0.1932552739484229,0.05009098322629124,0.3140565066140626,0.4171645885878441,1
58992,94,7,24,940724,5.02,-95.01,0.48000000000000004,0.7727272727272727,0.5964010282776351,0.5778120184899846,0.7120590648072187,0
14824,96,4,14,960414,0.0,-179.89,0.2355555555555556,0.3909090909090909,0.5604113110539846,0.6725731895223419,0.7120590648072187,0
14660,95,10,30,951030,0.05,-179.89,0.19111111111111118,0.4636363636363636,0.4575835475578405,0.6756548536209552,0.7260049220672684,0
78706,97,10,14,971014,8.0,155.99,0.5022222222222222,0.5772727272727273,0.48586118251928,0.734206471494607,0.8433141919606233,0
84943,97,4,30,970430,-8.05,-109.93,0.14222222222222225,0.5863636363636363,0.480719794344473,0.7033898305084747,0.712879409351928,0
77288,94,12,15,941215,7.96,-155.0,0.026666666666666672,0.38181818181818183,0.5964010282776351,0.719568567026194,0.7645611156685805,0
14049,94,2,22,940222,0.04,-179.87,0.2177777777777778,0.4772727272727273,0.6529562982005137,0.6795069337442221,0.7169811320754715,0
81776,96,7,21,960721,8.02,-170.02,0.17333333333333334,0.34545454545454546,0.4267352185089972,0.691833590138675,0.7875307629204267,0
18386,94,7,21,940721,1.97,-125.08,0.1955555555555556,0.6727272727272727,0.5552699228791771,0.4576271186440679,0.6177194421657095,0
40798,97,9,29,970929,-1.91,164.43,0.5644444444444445,0.5045454545454545,0.6298200514138816,0.7080123266563947,0.8465955701394585,0
32589,92,1,27,920127,-2.03,-124.9,0.22222222222222224,0.48636363636363633,0.5089974293059125,0.6494607087827429,0.6948318293683347,0
49947,97,8,23,970823,4.92,-139.84,0.39111111111111113,0.5545454545454546,0.5501285347043701,0.7511556240369799,0.8941755537325675,0
17497,96,4,20,960420,2.03,-110.11,0.3066666666666667,0.6272727272727273,0.6683804627249357,0.5123266563944531,0.6095159967186219,0
71798,97,11,20,971120,-5.01,-169.99,0.56,0.5545454545454546,0.4575835475578405,0.7842835130970724,0.9261689909762096,0
26586,97,3,9,970309,2.0,164.97,0.44000000000000006,0.4954545454545454,0.249357326478149,0.8659476117103238,0.9474979491386382,0
