,Species,Weight,Length1,Length2,Length3,Height,Width,ground_truth
0,0,0.14666666666666667,23.2,25.4,30.0,11.52,4.02,0
1,0,0.17575757575757575,24.0,26.3,31.2,12.48,4.3056,0
2,0,0.20606060606060606,23.9,26.5,31.1,12.3778,4.6961,0
3,0,0.22,26.3,29.0,33.5,12.73,4.4555,0
4,0,0.2606060606060606,26.5,29.0,34.0,12.444,5.134,0
5,0,0.2727272727272727,26.8,29.7,34.7,13.6024,4.9274,0
6,0,0.30303030303030304,26.8,29.7,34.5,14.1795,5.2785,0
7,0,0.660135819034767,27.6,30.0,35.0,12.67,4.69,1
8,0,0.7044891384284707,27.6,30.0,35.1,14.0049,4.8438,1
9,0,0.4345503822616863,28.5,30.7,36.2,14.2266,4.9594,1
10,0,0.2878787878787879,28.4,31.0,36.2,14.2628,5.1042,0
11,0,0.30303030303030304,28.7,31.0,36.2,14.3714,4.8146,0
12,0,0.30303030303030304,29.1,31.5,36.4,13.7592,4.368,0
13,0,0.20606060606060606,29.5,32.0,37.3,13.9129,5.0728,0
14,0,0.36363636363636365,29.4,32.0,37.2,14.9544,5.1708,0
15,0,0.36363636363636365,29.4,32.0,37.2,15.438,5.58,0
16,0,0.42424242424242425,30.4,33.0,38.3,14.8604,5.2854,0
17,0,0.42424242424242425,30.4,33.0,38.5,14.938,5.1975,0
18,0,0.3696969696969697,30.9,33.5,38.6,15.633,5.1338,0
19,0,0.3939393939393939,31.0,33.5,38.7,14.4738,5.7276,0
20,0,0.3484848484848485,31.3,34.0,39.5,15.1285,5.5695,0
21,0,0.41515151515151516,31.4,34.0,39.2,15.9936,5.3704,0
22,0,0.37575757575757573,31.5,34.5,39.7,15.5227,5.2801,0
23,0,0.7536116246679685,31.8,35.0,40.6,15.4686,6.1306,1
24,0,0.755183282345129,31.9,35.0,40.5,16.2405,5.589,1
25,0,0.4393939393939394,31.8,35.0,40.9,16.36,6.0532,0
26,0,0.43636363636363634,32.0,35.0,40.6,16.3618,6.09,0
27,0,0.5736113833352122,32.7,36.0,41.5,16.517,5.8515,1
28,0,0.5151515151515151,32.8,36.0,41.6,16.8896,6.1984,0
29,0,0.7942368548768848,33.5,37.0,42.6,18.957,6.603,1
30,0,0.5575757575757576,35.0,38.5,44.1,18.0369,6.3063,0
31,0,0.5787878787878787,35.0,38.5,44.0,18.084,6.292000000000002,0
32,0,0.5606060606060606,36.2,39.5,45.3,18.7542,6.7497,0
33,0,0.5909090909090909,37.4,41.0,45.9,18.6354,6.7473,0
34,0,0.5757575757575758,38.0,41.0,46.5,17.6235,6.3705,0
35,4,0.024242424242424242,12.9,14.1,16.2,4.1472,2.268,0
36,4,-0.44106704706453065,16.5,18.2,20.3,5.2983,2.8217,1
37,4,0.04727272727272727,17.5,18.8,21.2,5.5756,2.9044,0
38,4,0.05272727272727273,18.2,19.8,22.2,5.6166,3.1746,0
39,4,0.07272727272727272,18.6,20.0,22.2,6.216,3.5742,0
40,4,0.0,19.0,20.5,22.8,6.4752,3.3516,0
41,4,0.06666666666666667,19.1,20.8,23.1,6.1677,3.3957,0
42,4,0.07272727272727272,19.4,21.0,23.7,6.1146,3.2943,0
43,4,0.09090909090909091,20.4,22.0,24.7,5.8045,3.7544,0
44,4,0.08787878787878788,20.5,22.0,24.3,6.6339,3.5478,0
45,4,0.09696969696969697,20.5,22.5,25.3,7.0334,3.8203,0
46,4,0.08484848484848485,21.0,22.5,25.0,6.55,3.325,0
47,4,0.09696969696969697,21.1,22.5,25.0,6.4,3.8,0
48,4,0.10242424242424242,22.0,24.0,27.2,7.5344,3.8352,0
49,4,0.09757575757575758,22.0,23.4,26.7,6.9153,3.6312,0
50,4,0.12121212121212122,22.1,23.5,26.8,7.3968,4.1272,0
51,4,0.274152547953343,23.6,25.2,27.9,7.0866,3.906,1
52,4,0.17575757575757575,24.0,26.0,29.2,8.8768,4.4968,0
53,4,0.16484848484848486,25.0,27.0,30.6,8.568,4.7736,0
54,4,0.23636363636363636,29.5,31.7,35.0,9.485,5.355,0
55,6,0.16363636363636364,23.6,26.0,28.7,8.3804,4.2476,0
56,6,0.045306610174098746,24.1,26.5,29.3,8.1454,4.2485,1
57,6,0.18545454545454546,25.6,28.0,30.8,8.777999999999999,4.6816,0
58,6,0.538421263941384,28.5,31.0,34.0,10.744000000000002,6.562,1
59,6,0.48484848484848486,33.7,36.4,39.6,11.7612,6.5736,0
60,6,0.19683326974512927,37.3,40.0,43.5,12.354,6.525,1
