,X,Y,month,day,FFMC,DMC,DC,ISI,temp,RH,wind,rain,area,ground_truth
0,7,5,2,4,0.870967741935484,0.0864920744314266,0.10132520229858098,0.09090909090909091,0.19292604501607719,0.4235294117647059,0.7000000000000001,0.0,0.0,0
1,7,4,9,1,0.927741935483871,0.11819434872501723,0.7754192564794183,0.11942959001782533,0.5080385852090032,0.21176470588235297,0.055555555555555546,0.0,0.0,0
2,7,4,9,5,0.927741935483871,0.14679531357684358,0.7962941245455611,0.11942959001782533,0.39871382636655955,0.21176470588235297,0.09999999999999998,0.0,0.0,0
3,8,6,2,4,0.9419354838709679,0.11095796002756719,0.08162307962941247,0.16042780748663102,0.1961414790996785,0.9647058823529411,0.39999999999999997,0.03125,0.0,0
4,8,6,2,6,0.9109677419354838,0.1729841488628532,0.1105898909346781,0.1711229946524064,0.29581993569131837,0.9882352941176471,0.15555555555555553,0.0,0.0,0
5,8,6,7,6,0.9496774193548387,0.290144727773949,0.5630350650873696,0.2620320855614973,0.6430868167202572,0.1647058823529412,0.5555555555555556,0.0,0.0,0
6,8,6,7,0,0.9496774193548387,0.3025499655410062,0.5719479301043744,0.15151515151515152,0.7041800643086817,0.1411764705882353,0.3,0.0,0.0,0
7,8,6,7,0,0.5225230929644918,0.08041153475102386,0.2871673160584969,-0.22610090795552434,-0.23033656889631104,0.4184623719018731,-0.21683174574518566,-0.41683174574518567,-0.41683174574518567,1
8,8,6,8,1,0.9329032258064516,0.44245348035837356,0.8029787733083148,0.12477718360071302,0.35048231511254024,0.5647058823529412,0.5555555555555556,0.0,0.0,0
9,7,5,8,5,0.9522580645161292,0.2994486560992419,0.8100152456901607,0.1265597147950089,0.662379421221865,0.29411764705882354,0.39999999999999997,0.0,0.0,0
10,7,5,8,5,0.9522580645161292,0.2994486560992419,0.8100152456901607,0.1265597147950089,0.5016077170418007,0.4235294117647059,0.7555555555555555,0.0,0.0,0
11,7,5,8,5,0.9561290322580644,0.24844934527911788,0.8269027794065908,0.4028520499108735,0.54983922829582,0.27058823529411763,0.39999999999999997,0.0,0.0,0
