,AT,V,AP,RH,PE,ground_truth
0,8.34,40.77,1010.84,90.01,0.7976158940397351,0
1,23.64,58.49,1011.4,74.2,0.33761589403973513,0
2,29.74,56.9,1007.15,41.91,0.2450331125827816,0
3,19.07,49.69,1007.22,76.79,0.43483443708609215,0
4,11.8,40.66,1017.13,97.2,0.5850331125827815,0
5,13.97,39.16,1016.05,84.6,0.6715231788079468,0
6,22.1,71.29,1008.2,75.38,0.2925827814569537,0
7,14.47,41.76,1021.98,78.41,0.0915023069809211,1
8,31.25,69.51,1010.25,36.83,0.11271523178807907,0
9,6.77,38.18,1017.8,81.13,0.8483443708609268,0
10,28.28,68.67,1006.36,69.9,0.5405583040604836,1
11,22.99,46.93,1014.15,49.42,0.4125827814569538,0
12,29.3,70.04,1010.95,61.23,0.07933774834437113,0
13,8.14,37.49,1009.04,80.33,0.8000000000000007,0
14,16.92,44.6,1017.34,58.75,0.5286092715231794,0
15,22.72,64.15,1021.14,60.34,0.435364238410596,0
16,18.14,43.56,1012.83,47.1,0.549006622516556,0
17,11.49,44.63,1020.44,86.04,0.6731125827814566,0
18,9.94,40.46,1018.9,68.51,0.7083443708609272,0
19,23.54,41.1,1002.05,38.05,0.37483443708609254,0
20,14.9,52.05,1015.11,77.33,0.5901986754966888,0
21,33.8,64.96,1004.88,49.37,0.09298013245033054,0
22,25.37,68.31,1011.12,70.99,0.2847682119205297,0
23,7.29,41.04,1024.06,89.19,0.7211920529801326,0
24,13.55,40.71,1019.13,75.44,0.621854304635761,0
25,6.39,35.57,1025.53,77.23,0.8931125827814572,0
26,26.64,62.44,1011.81,72.46,0.2438410596026488,0
27,7.84,41.39,1018.21,91.92,0.8662251655629145,0
28,21.82,58.66,1011.71,64.37,0.677483180100637,1
29,27.17,67.45,1015.67,49.03,0.12728476821192025,0
30,13.42,41.23,994.17,95.79,0.6431788079470193,0
31,20.77,56.85,1012.4,83.63,0.2992052980132449,0
32,8.29,36.08,1020.38,81.53,0.8344370860927155,0
33,30.98,67.45,1015.18,45.4,0.17655629139072815,0
34,31.96,71.29,1008.39,47.51,0.169271523178808,0
35,15.83,52.75,1024.3,58.34,0.507814569536424,0
36,22.56,70.79,1005.85,93.09,-0.26676503221249914,1
37,25.91,75.6,1018.23,62.65,0.3038410596026484,0
38,8.24,39.61,1017.99,78.42,0.7634437086092714,0
39,24.66,60.29,1018.0,59.56,0.331125827814569,0
40,29.31,68.67,1006.18,63.38,0.20278145695364191,0
41,21.48,66.91,1008.58,84.49,0.3597350993377484,0
42,18.28,44.71,1016.99,33.71,0.556556291390728,0
43,26.96,65.34,1015.05,46.93,0.28543046357615864,0
44,16.01,65.46,1014.0,87.68,0.4490066225165563,0
45,27.37,63.73,1009.79,65.25,0.22490066225165606,0
46,16.3,39.63,1004.64,85.61,0.580794701986755,0
47,23.8,48.6,1002.43,67.32,0.2732450331125822,0
48,8.19,41.66,1016.57,75.38,0.8601324503311254,0
49,25.28,67.69,1009.05,68.54,0.33218543046357585,0
50,21.47,70.32,1011.72,88.36,0.26145695364238364,0
51,30.54,67.45,1014.37,32.97,0.1468874172185437,0
52,18.3,44.06,1017.95,63.24,0.4776158940397348,0
53,25.82,72.39,1003.4,86.33,0.1684768211920531,0
54,31.12,69.13,1009.61,56.54,0.24966395704152464,1
55,15.99,39.63,1006.09,89.92,0.5919205298013246,0
56,8.42,42.28,1008.4,87.78,0.8165562913907287,0
57,23.7,69.23,1011.73,73.18,0.22370860927152325,0
58,15.71,40.12,1012.81,97.46,0.5607947019867554,0
59,29.11,74.9,1003.31,74.01,0.4018505272573917,1
60,23.73,61.02,1009.71,78.7,0.2908609271523179,0
61,28.26,65.34,1014.56,43.4,0.27509933774834394,0
62,15.92,41.2,1016.04,73.37,0.644370860927153,0
