,Iy,PF,e,dIf,If,ground_truth
0,3.0,0.66,0.34,0.38299999999999995,0.47267759562841527,0
1,3.0,0.68,0.32,0.37200000000000005,0.4576502732240433,0
2,3.0,0.7,0.3,0.36,0.44125683060109266,0
3,3.0,0.72,0.28,0.33799999999999997,0.4112021857923496,0
4,3.0,0.74,0.26,0.317,0.38251366120218555,0
5,3.0,0.76,0.24,0.301,0.36065573770491777,0
6,3.0,0.78,0.22,0.29,0.3456284153005462,0
7,3.0,0.8,0.2,0.28,0.5846149277173687,1
8,3.0,0.82,0.18,0.25,0.29098360655737676,0
9,3.0,0.84,0.16,0.221,0.25136612021857907,0
10,3.0,0.86,0.14,0.192,0.21174863387978116,0
11,3.0,0.88,0.12,0.165,0.17486338797814183,0
12,3.0,0.9,0.1,0.138,0.13797814207650272,0
13,3.0,0.92,0.08,0.098,0.08333333333333326,0
14,3.0,0.94,0.06,0.057,0.02732240437158473,0
15,3.0,0.96,0.04,0.037000000000000005,0.0,0
16,3.0,0.98,0.02,0.037000000000000005,0.0,0
17,3.0,1.0,0.0,0.037000000000000005,0.0,0
18,3.1,0.66,0.34,0.397,0.49180327868852447,0
19,3.1,0.68,0.32,0.414,0.5150273224043713,0
20,3.1,0.7,0.3,0.442,0.5532786885245897,0
21,3.1,0.72,0.28,0.369,0.45355191256830607,0
22,3.1,0.74,0.26,0.385,0.4754098360655734,0
23,3.1,0.76,0.24,0.31,0.3729508196721312,0
24,3.1,0.78,0.22,0.325,0.39344262295081944,0
25,3.1,0.8,0.2,0.349,0.4262295081967211,0
26,3.1,0.82,0.18,0.27,0.004650060117078247,1
27,3.1,0.84,0.16,0.27699999999999997,0.3278688524590161,0
28,3.1,0.86,0.14,0.193,0.4579133315838051,1
29,3.1,0.88,0.12,0.2,0.22267759562841505,0
30,3.1,0.9,0.1,0.21600000000000003,0.24453551912568283,0
31,3.1,0.92,0.08,0.11800000000000001,0.3689084981291837,1
32,3.1,0.94,0.06,0.124,0.1188524590163933,0
33,3.1,0.96,0.04,0.139,0.32439487991673804,1
34,3.1,0.98,0.02,0.139,0.1393442622950818,0
35,3.1,1.0,0.0,0.139,0.1393442622950818,0
36,3.2,0.66,0.34,0.39299999999999996,0.48633879781420775,0
37,3.2,0.68,0.32,0.409,0.5081967213114751,0
38,3.2,0.7,0.3,0.436,0.5450819672131144,0
39,3.2,0.72,0.28,0.361,0.44262295081967173,0
40,3.2,0.74,0.26,0.377,0.4644808743169395,0
41,3.2,0.76,0.24,0.306,0.367486338797814,0
42,3.2,0.78,0.22,0.318,0.38387978142076506,0
43,3.2,0.8,0.2,0.33799999999999997,0.4112021857923496,0
44,3.2,0.82,0.18,0.258,0.3019125683060109,0
45,3.2,0.84,0.16,0.266,0.1517058226347906,1
46,3.2,0.86,0.14,0.183,0.19945355191256842,0
47,3.2,0.88,0.12,0.18899999999999997,0.6863897451060399,1
48,3.2,0.9,0.1,0.20199999999999999,0.2254098360655734,0
49,3.2,0.92,0.08,0.102,0.08879781420764976,0
50,3.2,0.94,0.06,0.11,0.0997267759562841,0
51,3.2,0.96,0.04,0.11800000000000001,0.11065573770491799,0
52,3.2,0.98,0.02,0.11800000000000001,0.11065573770491799,0
53,3.2,1.0,0.0,0.11800000000000001,0.11065573770491799,0
54,3.3,0.66,0.34,0.389,0.4808743169398906,0
55,3.3,0.68,0.32,0.405,0.5027322404371584,0
56,3.3,0.7,0.3,0.43,0.5368852459016391,0
57,3.3,0.72,0.28,0.355,0.4344262295081964,0
58,3.3,0.74,0.26,0.369,0.45355191256830607,0
59,3.3,0.76,0.24,0.303,0.36338797814207635,0
60,3.3,0.78,0.22,0.312,0.3756830601092893,0
61,3.3,0.8,0.2,0.32799999999999996,0.3975409836065571,0
62,3.3,0.82,0.18,0.25,0.29098360655737676,0
63,3.3,0.84,0.16,0.255,0.2978142076502732,0
64,3.3,0.86,0.14,0.174,0.18715846994535523,0
65,3.3,0.88,0.12,0.18100000000000002,0.1967213114754096,0
66,3.3,0.9,0.1,0.188,0.20628415300546443,0
67,3.3,0.92,0.08,0.091,0.07377049180327844,0
68,3.3,0.94,0.06,0.095,0.07923497267759538,0
69,3.3,0.96,0.04,0.098,0.08333333333333326,0
70,3.3,0.98,0.02,0.098,0.08333333333333326,0
71,3.3,1.0,0.0,0.098,0.08333333333333326,0
72,3.4,0.66,0.34,0.385,0.3240532502656683,1
73,3.4,0.68,0.32,0.402,0.49863387978142026,0
74,3.4,0.7,0.3,0.424,0.5286885245901638,0
75,3.4,0.72,0.28,0.345,0.42076502732240395,0
76,3.4,0.74,0.26,0.361,0.44262295081967173,0
77,3.4,0.76,0.24,0.299,0.3579234972677596,0
78,3.4,0.78,0.22,0.306,0.367486338797814,0
79,3.4,0.8,0.2,0.317,0.38251366120218555,0
80,3.4,0.82,0.18,0.23800000000000002,0.27459016393442615,0
81,3.4,0.84,0.16,0.245,0.47993392959970427,1
82,3.4,0.86,0.14,0.16399999999999998,-0.21168232136808596,1
83,3.4,0.88,0.12,0.17,0.1816939890710383,0
84,3.4,0.9,0.1,0.174,0.18715846994535523,0
85,3.4,0.92,0.08,0.07400000000000001,0.050546448087431584,0
86,3.4,0.94,0.06,0.08,0.05874316939890689,0
87,3.4,0.96,0.04,0.077,0.05464480874316946,0
88,3.4,0.98,0.02,0.077,0.05464480874316946,0
89,3.4,1.0,0.0,0.077,0.05464480874316946,0
90,3.5,0.66,0.34,0.37200000000000005,0.6647466236143244,1
91,3.5,0.68,0.32,0.395,0.4890710382513659,0
92,3.5,0.7,0.3,0.418,0.5204918032786885,0
93,3.5,0.72,0.28,0.32799999999999996,0.3975409836065571,0
