,World2018,National2018,World2019,National2019,Country,SIZE,FOCUS,RESEARCH INTENSITY,AGE,STATUS,Academic Reputation,Employer Reputation,Faculty Student,Citations per Faculty,International Faculty,International Students,World2020,National2020
0,1.0,1.0,1.0,1.0,55,1,0,3,5.0,1,100.0,100.0,100.0,99.8,100.0,94.1,1,1.0
1,2.0,2.0,2.0,2.0,55,0,1,3,5.0,1,100.0,100.0,100.0,98.6,99.8,67.7,2,2.0
2,3.0,3.0,3.0,3.0,55,0,1,3,5.0,1,100.0,100.0,98.7,99.6,86.3,62.2,3,3.0
3,6.0,2.0,5.0,1.0,54,0,1,3,5.0,0,100.0,100.0,100.0,84.7,99.7,98.5,4,1.0
4,4.0,4.0,4.0,4.0,55,2,0,3,5.0,1,97.8,81.2,100.0,100.0,99.4,87.3,5,4.0
5,10.0,1.0,7.0,1.0,48,0,0,3,5.0,0,98.4,96.7,85.0,98.4,100.0,98.0,6,1.0
6,5.0,1.0,6.0,2.0,54,0,1,3,5.0,0,100.0,100.0,100.0,74.2,100.0,97.6,7,2.0
7,7.0,3.0,10.0,4.0,54,3,1,3,5.0,0,99.3,98.7,98.1,76.7,99.1,100.0,8,3.0
8,8.0,4.0,8.0,3.0,54,0,1,3,5.0,0,98.6,99.9,99.8,72.1,100.0,100.0,9,4.0
9,9.0,5.0,9.0,5.0,55,0,1,3,5.0,1,99.5,93.7,96.5,78.5,70.2,81.0,10,5.0
10,11.0,1.0,12.0,2.0,43,0,1,3,3.0,0,92.1,93.8,93.9,88.8,100.0,74.2,11,1.0
11,15.0,2.0,11.0,1.0,43,3,1,3,5.0,0,99.8,99.2,88.3,75.7,100.0,76.4,12,2.0
12,13.0,6.0,13.0,6.0,55,1,0,3,5.0,1,99.9,98.6,70.7,100.0,64.9,67.6,13,6.0
13,14.0,7.0,14.0,7.0,55,0,1,3,5.0,1,98.7,90.4,65.7,95.1,93.8,72.3,14,7.0
14,19.0,11.0,19.0,10.0,55,0,1,3,5.0,1,95.8,93.7,100.0,67.6,84.0,63.6,15,8.0
15,25.0,1.0,17.0,1.0,8,3,1,3,5.0,0,97.4,99.1,92.4,80.4,68.0,30.1,16,1.0
16,16.0,8.0,15.0,8.0,55,0,1,3,5.0,1,99.9,99.9,100.0,53.5,78.1,57.4,17,9.0
