,Sex,Length,Diameter,Height,Whole weight,Shucked weight,Viscera weight,Shell weight,Rings
0,2,0.455,0.365,0.095,0.514,0.2245,0.10099999999999999,0.15,15
1,2,0.35,0.265,0.09,0.2255,0.0995,0.0485,0.07,7
2,0,0.53,0.42,0.135,0.677,0.2565,0.1415,0.21,9
3,2,0.44,0.365,0.125,0.516,0.2155,0.114,0.155,10
4,1,0.33,0.255,0.08,0.205,0.0895,0.0395,0.055,7
5,1,0.425,0.3,0.095,0.3515,0.141,0.0775,0.12,8
6,0,0.53,0.415,0.15,0.7775,0.237,0.1415,0.33,20
7,0,0.545,0.425,0.125,0.768,0.294,0.1495,0.26,16
8,2,0.475,0.37,0.125,0.5095,0.2165,0.1125,0.165,9
9,0,0.55,0.44,0.15,0.8945,0.3145,0.151,0.32,19
10,0,0.525,0.38,0.14,0.6065,0.19399999999999998,0.1475,0.21,14
11,2,0.43,0.35,0.11,0.406,0.1675,0.081,0.135,10
12,2,0.49,0.38,0.135,0.5415,0.2175,0.095,0.19,11
13,0,0.535,0.405,0.145,0.6845,0.2725,0.171,0.205,10
14,0,0.47,0.355,0.1,0.4755,0.1675,0.0805,0.185,10
15,2,0.5,0.4,0.13,0.6645,0.258,0.133,0.24,12
16,1,0.355,0.28,0.085,0.2905,0.095,0.0395,0.115,7
17,0,0.44,0.34,0.1,0.451,0.188,0.087,0.13,10
18,2,0.365,0.295,0.08,0.2555,0.09699999999999999,0.043,0.1,7
19,2,0.45,0.32,0.1,0.381,0.1705,0.075,0.115,9
20,2,0.355,0.28,0.095,0.2455,0.0955,0.062,0.075,11
21,1,0.38,0.275,0.1,0.2255,0.08,0.049,0.085,10
22,0,0.565,0.44,0.155,0.9395,0.4275,0.214,0.27,12
23,0,0.55,0.415,0.135,0.7635,0.318,0.21,0.2,9
24,0,0.615,0.48,0.165,1.1615,0.513,0.301,0.305,10
25,0,0.56,0.44,0.14,0.9285,0.3825,0.188,0.3,11
26,0,0.58,0.45,0.185,0.9955,0.3945,0.272,0.285,11
27,2,0.59,0.445,0.14,0.9309999999999999,0.35600000000000004,0.23399999999999999,0.28,12
28,2,0.605,0.475,0.18,0.9365,0.39399999999999996,0.21899999999999997,0.295,15
29,2,0.575,0.425,0.14,0.8635,0.39299999999999996,0.22699999999999998,0.2,11
30,2,0.58,0.47,0.165,0.9975,0.3935,0.242,0.33,10
31,0,0.68,0.56,0.165,1.639,0.6055,0.2805,0.46,15
32,2,0.665,0.525,0.165,1.338,0.5515,0.3575,0.35,18
33,0,0.68,0.55,0.175,1.798,0.815,0.3925,0.455,19
34,0,0.705,0.55,0.2,1.7095,0.633,0.4115,0.49,13
35,2,0.465,0.355,0.105,0.4795,0.22699999999999998,0.124,0.125,8
36,0,0.54,0.475,0.155,1.217,0.5305,0.3075,0.34,16
37,0,0.45,0.355,0.105,0.5225,0.237,0.1165,0.145,8
38,0,0.575,0.445,0.135,0.883,0.381,0.2035,0.26,11
39,2,0.355,0.29,0.09,0.3275,0.134,0.086,0.09,9
40,0,0.45,0.335,0.105,0.425,0.1865,0.091,0.115,9
41,0,0.55,0.425,0.135,0.8515,0.36200000000000004,0.196,0.27,14
42,1,0.24,0.175,0.045,0.07,0.0315,0.0235,0.02,5
43,1,0.205,0.15,0.055,0.042,0.0255,0.015,0.012,5
44,1,0.21,0.15,0.05,0.042,0.0175,0.0125,0.015,4
45,1,0.39,0.295,0.095,0.203,0.0875,0.045,0.075,7
46,2,0.47,0.37,0.12,0.5795,0.293,0.22699999999999998,0.14,9
47,0,0.46,0.375,0.12,0.4605,0.1775,0.11,0.15,7
48,1,0.325,0.245,0.07,0.161,0.0755,0.0255,0.045,6
49,0,0.525,0.425,0.16,0.8355,0.3545,0.2135,0.245,9
50,1,0.52,0.41,0.12,0.595,0.2385,0.111,0.19,8
51,2,0.4,0.32,0.095,0.303,0.1335,0.06,0.1,7
52,2,0.485,0.36,0.13,0.5415,0.2595,0.096,0.16,10
53,0,0.47,0.36,0.12,0.4775,0.2105,0.1055,0.15,10
54,2,0.405,0.31,0.1,0.385,0.17300000000000001,0.0915,0.11,7
55,0,0.5,0.4,0.14,0.6615,0.2565,0.1755,0.22,8
56,2,0.445,0.35,0.12,0.4425,0.192,0.0955,0.135,8
57,2,0.47,0.385,0.135,0.5895,0.2765,0.12,0.17,8
58,1,0.245,0.19,0.06,0.086,0.042,0.013999999999999999,0.025,4
59,0,0.505,0.4,0.125,0.583,0.24600000000000002,0.13,0.175,7
60,2,0.45,0.345,0.105,0.4115,0.18,0.1125,0.135,7
61,2,0.505,0.405,0.11,0.625,0.305,0.16,0.175,9
62,0,0.53,0.41,0.13,0.6965,0.302,0.1935,0.2,10
63,2,0.425,0.325,0.095,0.3785,0.1705,0.08,0.1,7
64,2,0.52,0.4,0.12,0.58,0.23399999999999999,0.1315,0.185,8
65,2,0.475,0.355,0.12,0.48,0.23399999999999999,0.1015,0.135,8
66,0,0.565,0.44,0.16,0.915,0.354,0.1935,0.32,12
67,0,0.595,0.495,0.185,1.285,0.41600000000000004,0.22399999999999998,0.485,13
68,0,0.475,0.39,0.12,0.5305,0.2135,0.1155,0.17,10
69,1,0.31,0.235,0.07,0.151,0.063,0.0405,0.045,6
70,2,0.555,0.425,0.13,0.7665,0.264,0.168,0.275,13
71,0,0.4,0.32,0.11,0.353,0.1405,0.0985,0.1,8
72,0,0.595,0.475,0.17,1.247,0.48,0.225,0.425,20
73,2,0.57,0.48,0.175,1.185,0.474,0.261,0.38,11
74,0,0.605,0.45,0.195,1.0979999999999999,0.48100000000000004,0.2895,0.315,13
75,0,0.6,0.475,0.15,1.0075,0.4425,0.221,0.28,15
76,2,0.595,0.475,0.14,0.9440000000000001,0.3625,0.18899999999999997,0.315,9
77,0,0.6,0.47,0.15,0.922,0.363,0.19399999999999998,0.305,10
78,0,0.555,0.425,0.14,0.7879999999999999,0.282,0.1595,0.285,11
79,0,0.615,0.475,0.17,1.1025,0.4695,0.2355,0.345,14
80,0,0.575,0.445,0.14,0.941,0.3845,0.252,0.285,9
81,2,0.62,0.51,0.175,1.615,0.5105,0.192,0.675,12
82,0,0.52,0.425,0.165,0.9885,0.396,0.225,0.32,16
83,2,0.595,0.475,0.16,1.3175,0.408,0.23399999999999999,0.58,21
84,2,0.58,0.45,0.14,1.013,0.38,0.21600000000000003,0.36,14
85,0,0.57,0.465,0.18,1.295,0.33899999999999997,0.2225,0.44,12
86,2,0.625,0.465,0.14,1.195,0.4825,0.205,0.4,13
87,2,0.56,0.44,0.16,0.8645,0.3305,0.2075,0.26,10
88,0,0.46,0.355,0.13,0.517,0.2205,0.114,0.165,9
89,0,0.575,0.45,0.16,0.9775,0.3135,0.231,0.33,12
90,2,0.565,0.425,0.135,0.8115,0.341,0.1675,0.255,15
91,2,0.555,0.44,0.15,0.755,0.307,0.1525,0.26,12
92,2,0.595,0.465,0.175,1.115,0.4015,0.254,0.39,13
93,0,0.625,0.495,0.165,1.262,0.507,0.318,0.39,10
94,2,0.695,0.56,0.19,1.494,0.588,0.3425,0.485,15
95,2,0.665,0.535,0.195,1.6059999999999999,0.5755,0.38799999999999996,0.48,14
96,2,0.535,0.435,0.15,0.725,0.26899999999999996,0.1385,0.25,9
97,2,0.47,0.375,0.13,0.523,0.214,0.132,0.145,8
98,2,0.47,0.37,0.13,0.5225,0.201,0.133,0.165,7
99,0,0.475,0.375,0.125,0.5785,0.2775,0.085,0.155,10
100,1,0.36,0.265,0.095,0.2315,0.105,0.046,0.075,7
101,2,0.55,0.435,0.145,0.843,0.32799999999999996,0.1915,0.255,15
102,2,0.53,0.435,0.16,0.883,0.316,0.16399999999999998,0.335,15
103,2,0.53,0.415,0.14,0.7240000000000001,0.3105,0.1675,0.205,10
104,2,0.605,0.47,0.16,1.1735,0.4975,0.2405,0.345,12
105,0,0.52,0.41,0.155,0.727,0.29100000000000004,0.1835,0.235,12
106,0,0.545,0.43,0.165,0.802,0.2935,0.183,0.28,11
107,0,0.5,0.4,0.125,0.6675,0.261,0.1315,0.22,10
108,0,0.51,0.39,0.135,0.6335,0.231,0.179,0.2,9
109,0,0.435,0.395,0.105,0.3635,0.136,0.098,0.13,9
110,2,0.495,0.395,0.125,0.5415,0.2375,0.1345,0.155,9
111,2,0.465,0.36,0.105,0.431,0.172,0.107,0.175,9
112,1,0.435,0.32,0.08,0.3325,0.1485,0.0635,0.105,9
113,2,0.425,0.35,0.105,0.39299999999999996,0.13,0.063,0.165,9
114,0,0.545,0.41,0.125,0.6935,0.2975,0.146,0.21,11
115,0,0.53,0.415,0.115,0.5915,0.233,0.1585,0.18,11
116,0,0.49,0.375,0.135,0.6125,0.2555,0.102,0.22,11
117,2,0.44,0.34,0.105,0.402,0.1305,0.0955,0.165,10
118,0,0.56,0.43,0.15,0.8825,0.3465,0.172,0.31,9
119,2,0.405,0.305,0.085,0.2605,0.1145,0.0595,0.085,8
120,0,0.47,0.365,0.105,0.4205,0.163,0.1035,0.14,9
121,1,0.385,0.295,0.085,0.2535,0.10300000000000001,0.0575,0.085,7
122,0,0.515,0.425,0.14,0.7659999999999999,0.304,0.1725,0.255,14
123,2,0.37,0.265,0.075,0.214,0.09,0.051,0.07,6
124,1,0.36,0.28,0.08,0.1755,0.081,0.0505,0.07,6
125,1,0.27,0.195,0.06,0.073,0.0285,0.0235,0.03,5
126,1,0.375,0.275,0.09,0.23800000000000002,0.1075,0.0545,0.07,6
127,1,0.385,0.29,0.085,0.2505,0.11199999999999999,0.061,0.08,8
128,2,0.7,0.535,0.16,1.7255,0.63,0.2635,0.54,19
129,2,0.71,0.54,0.165,1.959,0.7665,0.261,0.78,18
130,2,0.595,0.48,0.165,1.262,0.4835,0.28300000000000003,0.41,17
131,0,0.44,0.35,0.125,0.4035,0.175,0.063,0.129,9
132,0,0.325,0.26,0.09,0.1915,0.085,0.036000000000000004,0.062,7
133,1,0.35,0.26,0.095,0.21100000000000002,0.086,0.055999999999999994,0.068,7
134,1,0.265,0.2,0.065,0.0975,0.04,0.0205,0.027999999999999997,7
135,0,0.425,0.33,0.115,0.406,0.1635,0.081,0.1355,8
136,0,0.305,0.23,0.08,0.156,0.0675,0.0345,0.048,7
137,2,0.345,0.255,0.09,0.2005,0.094,0.0295,0.063,9
138,0,0.405,0.325,0.11,0.3555,0.151,0.063,0.11699999999999999,9
139,2,0.375,0.285,0.095,0.253,0.096,0.0575,0.0925,9
140,0,0.565,0.445,0.155,0.826,0.341,0.2055,0.2475,10
141,0,0.55,0.45,0.145,0.741,0.295,0.1435,0.2665,10
142,2,0.65,0.52,0.19,1.3445,0.519,0.306,0.4465,16
143,2,0.56,0.455,0.155,0.797,0.34,0.19,0.2425,11
144,2,0.475,0.375,0.13,0.5175,0.2075,0.1165,0.17,10
145,0,0.49,0.38,0.125,0.5489999999999999,0.245,0.1075,0.174,10
146,2,0.46,0.35,0.12,0.515,0.22399999999999998,0.10800000000000001,0.1565,10
147,1,0.28,0.205,0.08,0.127,0.052000000000000005,0.039,0.042,9
148,1,0.175,0.13,0.055,0.0315,0.0105,0.0065,0.0125,5
149,1,0.17,0.13,0.095,0.03,0.013000000000000001,0.008,0.01,4
150,2,0.59,0.475,0.145,1.053,0.4415,0.262,0.325,15
151,0,0.605,0.5,0.185,1.1185,0.469,0.2585,0.335,9
152,0,0.635,0.515,0.19,1.3715,0.5065,0.305,0.45,10
153,0,0.605,0.485,0.16,1.0565,0.37,0.2355,0.355,10
154,0,0.565,0.45,0.135,0.9885,0.387,0.1495,0.31,12
155,2,0.515,0.405,0.13,0.722,0.32,0.131,0.21,10
156,0,0.575,0.46,0.19,0.9940000000000001,0.392,0.2425,0.34,13
157,2,0.645,0.485,0.215,1.514,0.546,0.2615,0.635,16
158,0,0.58,0.455,0.17,0.9075,0.374,0.2135,0.285,13
159,0,0.575,0.46,0.165,1.124,0.2985,0.1785,0.44,13
160,2,0.605,0.465,0.165,1.056,0.4215,0.2475,0.34,13
161,0,0.605,0.485,0.16,1.222,0.53,0.2575,0.28,13
162,2,0.61,0.485,0.175,1.2445,0.544,0.297,0.345,12
163,0,0.725,0.56,0.21,2.141,0.65,0.39799999999999996,1.005,18
164,0,0.65,0.545,0.23,1.7519999999999998,0.5605,0.2895,0.815,16
165,2,0.725,0.57,0.19,2.55,1.0705,0.483,0.725,14
166,0,0.725,0.575,0.175,2.124,0.765,0.4515,0.85,20
167,0,0.68,0.57,0.205,1.8419999999999999,0.625,0.408,0.65,20
168,2,0.705,0.56,0.22,1.9809999999999999,0.8175,0.3085,0.76,14
169,0,0.68,0.515,0.175,1.6185,0.5125,0.409,0.62,12
170,2,0.695,0.55,0.215,1.9565,0.7125,0.541,0.59,14
171,0,0.53,0.395,0.145,0.775,0.308,0.16899999999999998,0.255,7
172,2,0.525,0.435,0.155,1.065,0.486,0.233,0.285,8
173,0,0.52,0.405,0.115,0.7759999999999999,0.32,0.1845,0.22,8
174,1,0.235,0.16,0.04,0.048,0.0185,0.018000000000000002,0.015,5
175,1,0.36,0.26,0.09,0.1785,0.0645,0.037000000000000005,0.075,7
176,1,0.315,0.21,0.06,0.125,0.06,0.0375,0.035,5
177,1,0.315,0.245,0.085,0.1435,0.053,0.0475,0.05,8
178,1,0.225,0.16,0.045,0.0465,0.025,0.015,0.015,4
179,2,0.58,0.475,0.15,0.97,0.385,0.2165,0.35,11
180,2,0.57,0.48,0.18,0.9395,0.39899999999999997,0.2,0.295,14
181,2,0.64,0.51,0.175,1.368,0.515,0.266,0.57,21
182,0,0.56,0.45,0.16,1.0235,0.429,0.268,0.3,10
183,0,0.62,0.475,0.175,1.0165,0.4355,0.214,0.325,10
184,0,0.645,0.51,0.2,1.5675,0.621,0.36700000000000005,0.46,12
185,2,0.62,0.49,0.19,1.218,0.5455,0.2965,0.355,13
186,0,0.63,0.48,0.15,1.0525,0.392,0.336,0.285,12
187,0,0.63,0.5,0.185,1.383,0.54,0.3315,0.38,10
188,0,0.63,0.48,0.16,1.199,0.5265,0.335,0.315,11
189,0,0.585,0.46,0.17,0.9325,0.365,0.271,0.29,9
190,2,0.615,0.48,0.18,1.1595,0.4845,0.2165,0.325,13
191,2,0.61,0.485,0.17,1.0225,0.419,0.2405,0.36,12
192,2,0.58,0.45,0.15,0.927,0.276,0.1815,0.36,14
193,1,0.355,0.275,0.085,0.22,0.092,0.06,0.15,8
194,0,0.51,0.4,0.14,0.8145,0.45899999999999996,0.1965,0.195,10
