,Age,Gender,Education,Country,Ethnicity,Nscore,Escore,Oscore,Ascore,Cscore,Impulsive,SS,Alcohol,Amphet,Amyl,Benzos,Caff,Cannabis,Choc,Coke,Crack,Ecstasy,Heroin,Ketamine,Legalh,LSD,Meth,Mushrooms,Nicotine,Semer,VSA
0,2,0,6,5,3,0.31287,-0.57545,-0.58331,-0.91699,-0.00665,-0.21712,-1.18084,5,2,0,2,6,0,5,0,0,0,0,0,0,0,0,0,2,0,0
1,1,1,0,5,6,-0.67825,1.93886,1.43533,0.7609600000000001,-0.14277,-0.71126,-0.21575,5,2,2,0,6,4,6,3,0,4,0,2,0,2,3,0,4,0,0
2,2,1,6,5,6,-0.46725,0.80523,-0.8473200000000001,-1.6209,-1.0145,-1.37983,0.40148,6,0,0,0,6,3,4,0,0,0,0,0,0,0,0,1,0,0,0
3,0,0,5,5,6,-0.14882,-0.80615,-0.01928,0.59042,0.5848899999999999,-1.37983,-1.18084,4,0,0,3,5,2,4,2,0,0,0,2,0,0,0,0,2,0,0
4,2,0,0,5,6,0.73545,-1.6334,-0.45174,-0.30172,1.3061200000000002,-0.21712,-0.21575,4,1,1,0,6,3,6,0,0,1,0,0,1,0,0,2,2,0,0
5,5,0,3,1,6,-0.67825,-0.30033000000000004,-1.55521,2.03972,1.63088,-1.37983,-1.5485799999999998,2,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,6,0,0
6,3,1,5,6,6,-0.46725,-1.09207,-0.45174,-0.30172,0.93949,-0.21712,0.07987000000000001,6,0,0,0,6,1,5,0,0,0,0,0,0,0,0,0,6,0,0
7,2,1,1,5,6,-1.32828,1.93886,-0.8473200000000001,-0.30172,1.63088,0.19268,-0.52593,5,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0
8,2,0,6,1,6,0.62967,2.57309,-0.97631,0.7609600000000001,1.13407,-1.37983,-1.5485799999999998,4,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,6,0,0
9,4,1,5,5,6,-0.24649,0.0033200000000000005,-1.42424,0.59042,0.12331,-1.37983,-0.8463700000000001,6,1,0,1,6,1,6,0,0,0,0,0,0,0,0,0,6,0,0
10,1,0,8,5,6,-1.05308,0.80523,-1.11902,-0.7609600000000001,1.81175,0.19268,0.07987000000000001,5,0,1,0,6,2,5,2,0,0,0,0,0,0,0,0,2,0,1
11,3,1,7,4,6,-1.32828,0.0033200000000000005,0.14143,-1.92595,-0.52745,0.52975,1.2247,5,1,0,0,6,4,5,2,0,3,0,0,0,1,0,2,6,0,0
12,4,0,8,5,6,2.28554,0.16767,0.44585,-1.6209,-0.78155,1.29221,0.07987000000000001,5,1,0,4,6,3,5,1,0,0,0,0,0,1,1,1,6,0,0
13,4,0,6,1,6,-0.79151,0.80523,-0.01928,0.94156,3.46436,-0.71126,-0.8463700000000001,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0
14,4,0,6,5,6,-0.92104,1.45421,0.44585,-0.60633,1.63088,1.29221,0.7654,6,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,6,0,0
15,4,1,8,5,6,-2.05048,-1.50796,-1.55521,-1.07533,1.13407,-0.71126,-0.52593,5,2,2,0,6,1,5,2,0,1,0,0,0,0,0,0,0,0,0
16,2,0,7,5,6,-1.5507799999999998,-0.80615,-1.68062,0.28783000000000003,0.7583,-0.21712,-2.07848,6,0,0,1,6,3,5,0,0,0,0,0,0,0,0,0,6,0,0
17,3,1,1,5,6,0.52135,-1.23177,-0.31776,-0.4532100000000001,-1.38502,-1.37983,-0.8463700000000001,6,1,1,0,6,6,4,1,0,1,0,2,0,1,0,1,6,0,0
18,4,1,8,0,6,1.37297,-0.15487,-0.17779,-1.92595,-1.5184,-0.71126,-0.21575,6,2,0,2,6,3,6,2,0,2,0,0,2,1,0,1,0,0,0
19,2,1,6,5,6,-0.34799,-1.7625,-2.39883,-1.92595,0.7583,-1.37983,-2.07848,4,1,0,0,6,1,6,0,0,1,0,0,0,0,6,0,1,0,0
20,3,1,6,5,6,-0.79151,0.80523,0.7233,1.6110799999999998,-1.13788,0.19268,-0.21575,6,1,1,0,6,2,6,0,0,0,0,0,0,1,0,1,3,0,0
21,5,1,4,5,6,-1.1943,0.47617,-1.11902,-0.60633,1.81175,-0.21712,-1.18084,5,0,0,0,6,1,6,0,0,0,0,0,0,0,0,1,1,0,0
22,3,1,8,5,6,0.41667,-0.94779,-0.8473200000000001,1.11406,-0.89891,-0.71126,0.07987000000000001,4,0,0,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0
23,3,1,1,5,6,1.60383,-3.27393,-1.2755299999999998,0.28783000000000003,-1.0145,-1.37983,-1.5485799999999998,6,2,1,5,6,2,6,2,0,0,1,0,0,1,0,0,6,0,1
24,4,1,8,5,6,-0.14882,0.63779,1.24033,0.7609600000000001,1.46191,-0.21712,-0.52593,5,1,1,1,5,1,5,1,0,1,0,0,0,1,0,1,6,0,0
25,3,1,7,5,6,-0.79151,-0.43999,-1.2755299999999998,0.94156,-0.00665,-0.21712,0.40148,5,1,2,0,6,1,5,2,0,2,0,0,3,2,0,2,1,0,0
26,4,0,3,1,6,-0.05188,-1.6334,-3.27393,-0.7609600000000001,0.5848899999999999,0.19268,-1.5485799999999998,6,0,0,2,6,1,6,0,0,0,0,0,0,0,0,0,6,0,0
27,2,1,8,5,6,0.52135,-1.23177,-0.01928,-0.01729,-2.18109,1.86203,0.40148,6,1,1,2,6,6,5,1,0,0,0,0,2,1,0,3,2,0,0
28,2,0,5,5,6,0.04257,-1.50796,-0.71727,0.28783000000000003,1.3061200000000002,0.19268,-0.52593,6,0,0,0,4,1,5,0,0,0,0,0,0,0,0,0,0,0,0
29,3,1,0,5,6,-1.32828,1.74091,0.8830899999999999,0.94156,1.81175,-0.21712,-0.52593,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0
30,3,1,1,5,6,0.31287,-0.80615,-1.2755299999999998,-1.47955,-0.65253,-1.37983,0.07987000000000001,6,1,1,1,6,2,6,1,0,0,1,0,1,1,1,1,2,0,0
31,2,0,1,4,6,-1.1943,-0.80615,0.14143,-0.60633,-0.00665,-1.37983,-0.8463700000000001,3,0,0,2,3,0,5,0,0,0,0,0,0,0,0,0,1,0,0
32,2,1,8,5,6,-0.79151,-1.23177,-0.01928,0.43852,-0.00665,0.19268,-0.8463700000000001,6,1,1,0,6,3,6,0,0,0,0,0,0,0,0,1,6,0,0
33,0,1,8,5,6,0.41667,-0.30033000000000004,0.29338000000000003,1.2861,-0.14277,-0.71126,-1.5485799999999998,6,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0
