,AT,AP,AH,AFDP,GTEP,TIT,TAT,TEY,CDP,CO,NOX
0,1.9532,1020.1,84.985,2.5304,20.116,1048.7,544.92,116.27,10.799000000000001,7.4491,113.25
1,1.2191,1020.1,87.523,2.3937,18.584,1045.5,548.5,109.18,10.347000000000001,6.4684,112.02
2,0.94915,1022.2,78.335,2.7789,22.264,1068.8,549.95,125.88,11.255999999999998,3.6335,88.147
3,1.0075,1021.7,76.942,2.8169999999999997,23.358,1075.2,549.63,132.21,11.702,3.1972,87.07799999999999
4,1.2858,1021.6,76.732,2.8377,23.483,1076.2,549.68,133.58,11.737,2.3833,82.515
5,1.8319,1021.7,76.411,2.841,23.495,1076.4,549.92,133.58,11.829,2.0812,81.193
6,2.074,1022.0,75.97399999999999,2.7981,22.945,1073.7,549.98,131.53,11.687000000000001,2.2529,83.171
7,1.7824,1022.6,73.535,2.8327,23.337,1075.7,550.01,133.18,11.745,3.735,85.749
8,1.5930000000000002,1023.2,72.873,2.8729,23.654,1078.5,550.06,135.38,11.772,3.6398,86.491
9,1.6819,1023.8,72.441,2.9058,23.463,1077.9,550.12,134.86,11.742,3.5866,86.32799999999999
10,1.9002,1024.5,71.376,2.9126,23.561999999999998,1078.2,550.12,134.98,11.77,3.5605,84.117
11,1.7797,1025.1,68.528,2.8725,23.276,1077.0,550.03,134.21,11.782,3.6902,85.31700000000001
12,1.1722,1025.3,65.626,2.85,23.215,1077.3,550.09,134.44,11.873,3.1766,86.431
13,0.72327,1025.4,64.393,2.8395,23.101,1076.2,550.15,133.82,11.797,2.562,84.708
14,0.48348,1025.8,64.14399999999999,2.8746,23.299,1078.2,549.96,135.36,11.897,2.1854,84.104
15,0.42953,1025.9,64.50399999999999,2.866,23.069000000000003,1077.0,549.73,134.47,11.805,2.4286,83.869
16,0.48238000000000003,1026.1,63.519,2.5481,20.185,1037.1,535.4,115.92,10.86,12.659,118.27
17,0.059447,1026.0,52.123999999999995,2.4651,18.477999999999998,1048.4,548.78,111.2,10.384,4.6896,104.56
18,-0.21598,1026.7,51.978,2.5301,19.438,1050.4,546.71,115.46,10.767000000000001,7.0983,116.96
19,0.0167,1026.8,54.805,3.3399,27.408,1085.6,540.72,148.05,12.79,3.8632,75.64
20,0.68481,1026.7,56.028999999999996,4.0703,34.213,1100.0,527.71,168.83,14.357999999999999,2.9789999999999996,59.354
21,1.9995,1026.3,54.0,3.983,34.171,1100.1,530.64,166.13,14.182,2.5793,59.431999999999995
22,3.1663,1025.7,51.35,4.0683,35.162,1099.8,528.21,167.49,14.384,2.2228,58.431999999999995
23,3.6486,1025.3,51.648999999999994,4.0375,35.282,1100.0,530.04,165.89,14.257,2.2119,60.172
24,3.9207,1025.2,49.619,4.0455,34.648,1099.9,529.73,166.0,14.253,2.3487,60.255
25,3.9193,1025.1,51.181000000000004,4.04,33.944,1100.0,529.56,166.46,14.283,2.3095,59.778
26,3.0965,1024.8,55.35,4.075,33.873000000000005,1099.8,528.24,167.79,14.342,2.345,60.011
27,1.7596,1024.7,63.278,3.9926,33.249,1100.0,529.91,167.49,14.195,2.5317,60.746
28,0.9386700000000001,1024.8,65.617,4.0298,33.488,1100.1,528.95,168.31,14.312000000000001,2.6109,60.902
29,0.50713,1024.6,66.25399999999999,4.0629,33.794000000000004,1100.0,528.12,169.09,14.401,2.5376,60.858999999999995
