,Iy,PF,e,dIf,If
0,3.0,0.66,0.34,0.383,1.563
1,3.0,0.68,0.32,0.372,1.552
2,3.0,0.7,0.3,0.36,1.54
3,3.0,0.72,0.28,0.338,1.518
4,3.0,0.74,0.26,0.317,1.497
5,3.0,0.76,0.24,0.301,1.481
6,3.0,0.78,0.22,0.29,1.47
7,3.0,0.8,0.2,0.28,1.46
8,3.0,0.82,0.18,0.25,1.43
9,3.0,0.84,0.16,0.221,1.401
10,3.0,0.86,0.14,0.192,1.372
11,3.0,0.88,0.12,0.165,1.345
12,3.0,0.9,0.1,0.138,1.318
13,3.0,0.92,0.08,0.098,1.278
14,3.0,0.94,0.06,0.057,1.237
15,3.0,0.96,0.04,0.037,1.217
16,3.0,0.98,0.02,0.037,1.217
17,3.0,1.0,0.0,0.037,1.217
18,3.1,0.66,0.34,0.397,1.577
19,3.1,0.68,0.32,0.414,1.594
20,3.1,0.7,0.3,0.442,1.622
21,3.1,0.72,0.28,0.369,1.549
22,3.1,0.74,0.26,0.385,1.565
23,3.1,0.76,0.24,0.31,1.49
24,3.1,0.78,0.22,0.325,1.505
25,3.1,0.8,0.2,0.349,1.529
26,3.1,0.82,0.18,0.27,1.45
27,3.1,0.84,0.16,0.277,1.457
28,3.1,0.86,0.14,0.193,1.373
29,3.1,0.88,0.12,0.2,1.38
30,3.1,0.9,0.1,0.216,1.396
31,3.1,0.92,0.08,0.118,1.298
32,3.1,0.94,0.06,0.124,1.304
33,3.1,0.96,0.04,0.139,1.319
34,3.1,0.98,0.02,0.139,1.319
35,3.1,1.0,0.0,0.139,1.319
36,3.2,0.66,0.34,0.393,1.573
37,3.2,0.68,0.32,0.409,1.589
38,3.2,0.7,0.3,0.436,1.616
39,3.2,0.72,0.28,0.361,1.541
40,3.2,0.74,0.26,0.377,1.557
41,3.2,0.76,0.24,0.306,1.486
42,3.2,0.78,0.22,0.318,1.498
43,3.2,0.8,0.2,0.338,1.518
44,3.2,0.82,0.18,0.258,1.438
45,3.2,0.84,0.16,0.266,1.446
46,3.2,0.86,0.14,0.183,1.363
47,3.2,0.88,0.12,0.189,1.369
48,3.2,0.9,0.1,0.202,1.382
49,3.2,0.92,0.08,0.102,1.282
50,3.2,0.94,0.06,0.11,1.29
51,3.2,0.96,0.04,0.118,1.298
52,3.2,0.98,0.02,0.118,1.298
53,3.2,1.0,0.0,0.118,1.298
54,3.3,0.66,0.34,0.389,1.569
55,3.3,0.68,0.32,0.405,1.585
56,3.3,0.7,0.3,0.43,1.61
57,3.3,0.72,0.28,0.355,1.535
58,3.3,0.74,0.26,0.369,1.549
59,3.3,0.76,0.24,0.303,1.483
60,3.3,0.78,0.22,0.312,1.492
61,3.3,0.8,0.2,0.328,1.508
62,3.3,0.82,0.18,0.25,1.43
63,3.3,0.84,0.16,0.255,1.435
64,3.3,0.86,0.14,0.174,1.354
65,3.3,0.88,0.12,0.181,1.361
66,3.3,0.9,0.1,0.188,1.368
67,3.3,0.92,0.08,0.091,1.271
68,3.3,0.94,0.06,0.095,1.275
69,3.3,0.96,0.04,0.098,1.278
70,3.3,0.98,0.02,0.098,1.278
71,3.3,1.0,0.0,0.098,1.278
72,3.4,0.66,0.34,0.385,1.565
73,3.4,0.68,0.32,0.402,1.582
74,3.4,0.7,0.3,0.424,1.604
75,3.4,0.72,0.28,0.345,1.525
76,3.4,0.74,0.26,0.361,1.541
77,3.4,0.76,0.24,0.299,1.479
78,3.4,0.78,0.22,0.306,1.486
79,3.4,0.8,0.2,0.317,1.497
80,3.4,0.82,0.18,0.238,1.418
81,3.4,0.84,0.16,0.245,1.425
82,3.4,0.86,0.14,0.164,1.344
83,3.4,0.88,0.12,0.17,1.35
84,3.4,0.9,0.1,0.174,1.354
85,3.4,0.92,0.08,0.074,1.254
86,3.4,0.94,0.06,0.08,1.26
87,3.4,0.96,0.04,0.077,1.257
88,3.4,0.98,0.02,0.077,1.257
89,3.4,1.0,0.0,0.077,1.257
90,3.5,0.66,0.34,0.372,1.552
91,3.5,0.68,0.32,0.395,1.575
92,3.5,0.7,0.3,0.418,1.598
93,3.5,0.72,0.28,0.328,1.508
94,3.5,0.74,0.26,0.349,1.529
95,3.5,0.76,0.24,0.285,1.465
96,3.5,0.78,0.22,0.296,1.476
97,3.5,0.8,0.2,0.306,1.486
98,3.5,0.82,0.18,0.216,1.396
99,3.5,0.84,0.16,0.225,1.405
100,3.5,0.86,0.14,0.142,1.322
101,3.5,0.88,0.12,0.151,1.331
102,3.5,0.9,0.1,0.16,1.34
103,3.5,0.92,0.08,0.045,1.225
104,3.5,0.94,0.06,0.052,1.232
105,3.5,0.96,0.04,0.056,1.236
106,3.5,0.98,0.02,0.056,1.236
107,3.5,1.0,0.0,0.056,1.236
108,3.6,0.66,0.34,0.457,1.637
109,3.6,0.68,0.32,0.476,1.656
110,3.8,0.92,0.08,0.112,1.292
111,3.8,0.94,0.06,0.116,1.296
112,3.8,0.96,0.04,0.119,1.299
113,3.8,0.98,0.02,0.119,1.299
114,3.8,1.0,0.0,0.119,1.299
115,3.7,0.92,0.08,0.123,1.303
116,3.7,0.94,0.06,0.131,1.311
117,3.6,0.92,0.08,0.14,1.32
118,3.7,0.96,0.04,0.14,1.32
119,3.7,0.98,0.02,0.14,1.32
120,3.7,1.0,0.0,0.14,1.32
121,3.6,0.94,0.06,0.146,1.326
122,3.6,0.96,0.04,0.162,1.342
123,3.6,0.98,0.02,0.162,1.342
124,3.6,1.0,0.0,0.162,1.342
125,3.8,0.86,0.14,0.2,1.38
126,3.7,0.86,0.14,0.21,1.39
127,3.8,0.88,0.12,0.21,1.39
128,3.6,0.86,0.14,0.22,1.4
129,3.7,0.88,0.12,0.221,1.401
130,3.8,0.9,0.1,0.222,1.402
131,3.6,0.88,0.12,0.235,1.415
132,3.7,0.9,0.1,0.241,1.421
133,3.6,0.9,0.1,0.261,1.441
134,3.8,0.82,0.18,0.287,1.467
135,3.7,0.82,0.18,0.295,1.475
136,3.8,0.84,0.16,0.299,1.479
137,3.6,0.82,0.18,0.307,1.487
138,3.7,0.84,0.16,0.311,1.491
139,3.6,0.84,0.16,0.322,1.502
140,3.8,0.76,0.24,0.345,1.525
141,3.7,0.76,0.24,0.353,1.533
142,3.6,0.76,0.24,0.361,1.541
143,3.8,0.78,0.22,0.361,1.541
144,3.7,0.78,0.22,0.367,1.547
145,3.6,0.78,0.22,0.377,1.557
146,3.8,0.8,0.2,0.383,1.563
147,3.7,0.8,0.2,0.395,1.575
148,3.6,0.8,0.2,0.406,1.586
149,3.8,0.72,0.28,0.412,1.592
