,X1,X2,X3,X4,X5,X6,X7,X8,Y1,Y2,ground_truth
0,0.98,514.5,294.0,110.25,7.0,2,0.0,0,0.25721218657320033,0.2809049286291408,0
1,0.98,514.5,294.0,110.25,7.0,3,0.0,0,0.25721218657320033,0.2809049286291408,0
2,0.98,514.5,294.0,110.25,7.0,4,0.0,0,0.25721218657320033,0.2809049286291408,0
3,0.98,514.5,294.0,110.25,7.0,5,0.0,0,0.25721218657320033,0.2809049286291408,0
4,0.9,563.5,318.5,122.5,7.0,2,0.0,0,0.39983823132919916,0.4680851063829788,0
5,0.9,563.5,318.5,122.5,7.0,3,0.0,0,0.41655432731194386,0.3899811473202262,0
6,0.9,563.5,318.5,122.5,7.0,4,0.0,0,0.3963332434618495,0.3840560193913278,0
7,0.9,563.5,318.5,122.5,7.0,5,0.0,0,0.06290050705095085,0.8712269852748818,1
8,0.86,588.0,294.0,147.0,7.0,2,0.0,0,0.36370989485036387,0.4416913546997037,0
9,0.86,588.0,294.0,147.0,7.0,3,0.0,0,0.3758425451604205,0.2981416644223,0
10,0.86,588.0,294.0,147.0,7.0,4,0.0,0,0.35939606362901044,0.33907891193105305,0
11,0.86,588.0,294.0,147.0,7.0,5,0.0,0,0.33162577514154756,0.45704282251548617,0
12,0.82,612.5,318.5,147.0,7.0,2,0.0,0,0.29765435427338904,0.3466199838405602,0
13,0.82,612.5,318.5,147.0,7.0,3,0.0,0,0.30736047452143433,0.2844061405871264,0
14,0.82,612.5,318.5,147.0,7.0,4,0.0,0,0.29495820976004306,0.2763264206840829,0
15,0.82,612.5,318.5,147.0,7.0,5,0.0,0,0.2688056079805877,0.3778615674656612,0
16,0.79,637.0,343.0,147.0,7.0,2,0.0,0,0.6069021299541655,0.7225962833288446,0
17,0.79,637.0,343.0,147.0,7.0,3,0.0,0,0.6441089242383391,0.5486129814166443,0
18,0.79,637.0,343.0,147.0,7.0,4,0.0,0,0.6368293340523051,0.5394559655265283,0
19,0.79,637.0,343.0,147.0,7.0,5,0.0,0,0.613103262334861,0.7686506867761917,0
20,0.76,661.5,416.5,122.5,7.0,2,0.0,0,0.5057967107036936,0.5087530298949636,0
21,0.76,661.5,416.5,122.5,7.0,3,0.0,0,0.4831490967915879,0.5057904659305144,0
22,0.76,661.5,416.5,122.5,7.0,4,0.0,0,0.5057967107036936,0.5087530298949636,0
23,0.76,661.5,416.5,122.5,7.0,5,0.0,0,0.4831490967915879,0.49824939402100726,0
24,0.74,686.0,245.0,220.5,3.5,2,0.0,0,0.0016176867080075485,0.0,0
25,0.74,686.0,245.0,220.5,3.5,3,0.0,0,0.0010784578053383564,0.007810395906275247,0
26,0.74,686.0,245.0,220.5,3.5,4,0.0,0,-0.11832975346226489,-0.4081500403284044,1
27,0.74,686.0,245.0,220.5,3.5,5,0.0,0,0.0008088433540037743,0.007271747912738991,0
28,0.71,710.5,269.5,220.5,3.5,2,0.0,0,-0.306045491799805,-0.3296128459036715,1
29,0.71,710.5,269.5,220.5,3.5,3,0.0,0,0.010514963602049093,0.022084567734985183,0
30,0.71,710.5,269.5,220.5,3.5,4,0.0,0,0.009706120248045291,0.010503635873956363,0
31,0.71,710.5,269.5,220.5,3.5,5,0.0,0,0.32216070164170385,-0.3513754163514628,1
32,0.69,735.0,294.0,220.5,3.5,2,0.0,0,0.02264761391210568,0.022623215728521384,0
33,0.69,735.0,294.0,220.5,3.5,3,0.0,0,0.35959353949688766,0.2836199742309476,1
34,0.69,735.0,294.0,220.5,3.5,4,0.0,0,0.02049069830142894,0.022353891731753284,0
35,0.69,735.0,294.0,220.5,3.5,5,0.0,0,0.021569156106767323,0.027740371667115515,0
36,0.66,759.5,318.5,220.5,3.5,2,0.0,0,0.0315448908061472,0.04039859951521679,0
37,0.66,759.5,318.5,220.5,3.5,3,0.0,0,0.029387975195470456,0.03582009157015892,0
38,0.66,759.5,318.5,220.5,3.5,4,0.0,0,0.029387975195470456,0.04039859951521679,0
39,0.66,759.5,318.5,220.5,3.5,5,0.0,0,0.029387975195470456,0.0333961755992459,0
40,0.64,784.0,343.0,220.5,3.5,2,0.0,0,0.1304933944459423,0.1583625100996499,0
41,0.64,784.0,343.0,220.5,3.5,3,0.0,0,0.12213534645456994,0.1589011580931861,0
42,0.64,784.0,343.0,220.5,3.5,4,0.0,0,0.12833647883526553,0.15755453810934555,0
43,0.64,784.0,343.0,220.5,3.5,5,0.0,0,0.12267457535723916,0.1553999461352007,0
