,CIC0,SM1_Dz,GATS1i,NdsCH,NdssC,MLOGP,LC50,ground_truth
0,3.26,0.8290000000000001,1.676,0,1,1.453,0.3888482058792761,0
1,2.189,0.58,0.863,0,0,1.348,0.32032639397426516,0
2,2.125,0.638,0.831,0,0,1.348,0.36384559054294385,0
3,3.027,0.331,1.472,1,0,1.807,0.3616487080238519,0
4,2.094,0.8270000000000001,0.86,0,0,1.886,0.5583220002092268,0
5,3.222,0.331,2.177,0,0,0.706,0.1847473585103044,0
6,3.179,0.0,1.063,0,0,2.942,0.4073647871116226,0
7,3.0,0.0,0.938,1,0,2.8510000000000004,0.02238471459963054,1
8,2.62,0.499,0.99,0,0,2.942,0.45496390835861494,0
9,2.834,0.134,0.95,0,0,1.591,0.3104927293649964,0
10,2.405,0.134,0.843,0,0,1.769,0.33026467203682397,0
11,2.728,0.223,0.953,0,0,1.591,0.24249398472643582,0
12,2.512,0.223,0.929,1,0,1.769,0.4044356104195,0
13,2.834,0.134,1.237,0,0,1.859,0.3114342504446072,0
14,2.819,0.331,1.271,0,1,0.981,0.28067789517731984,0
15,2.126,0.251,1.114,0,0,0.143,0.22010670572235588,0
16,2.834,0.134,1.3219999999999998,0,0,1.199,0.24688774976461977,0
17,3.014,0.56,1.781,0,0,-0.115,0.08839836803012868,0
18,3.024,0.452,2.698,0,0,1.107,0.04153154095616697,0
19,3.036,0.405,1.205,1,0,1.807,0.38497750810754267,0
20,2.707,0.972,1.889,0,3,-1.169,0.30578512396694224,0
21,2.978,1.246,1.103,0,1,3.988,0.6781044042263835,0
22,3.111,0.732,0.923,0,0,4.0680000000000005,0.5847892038916205,0
23,3.315,0.223,0.96,0,0,3.395,0.47871116225546606,0
24,2.71,0.93,0.7240000000000001,0,0,2.526,0.5005753739930955,0
25,3.326,0.647,0.986,0,1,3.112,0.4213829898524951,0
26,3.332,0.134,1.294,0,0,2.51,0.040251361668501795,1
27,3.896,0.134,1.984,0,0,2.591,0.3553719008264463,0
28,3.155,0.638,2.128,0,0,-0.937,0.4213852505409625,1
29,2.479,0.887,0.954,0,0,1.7480000000000002,0.4397949576315514,0
30,1.075,1.161,0.865,0,1,0.024,0.5579035463960665,0
31,3.645,0.223,1.155,0,0,2.837,0.045598416518325136,1
32,3.079,0.429,2.135,0,0,-0.521,0.13128988387906684,0
33,3.332,0.134,1.519,0,0,2.242,0.6110502774540604,1
34,2.7260000000000004,0.496,1.179,0,1,1.06,0.23182341249084634,0
35,3.532,0.134,1.11,0,0,2.813,0.4301705199288629,0
36,4.216,0.223,1.248,0,0,5.089,0.611256407574014,0
37,3.605,0.0,1.15,0,0,3.562,0.49963385291348467,0
38,2.918,0.223,0.944,3,0,2.066,0.4746312375771524,0
39,3.833,0.405,1.5219999999999998,0,1,3.492,0.21330683125849986,0
40,3.669,0.223,1.599,0,0,2.274,0.37786379328381636,0
41,2.824,0.223,1.0,1,0,2.102,0.36687938068835657,0
42,2.233,0.64,0.92,1,0,2.37,0.4971231300345224,0
43,3.103,0.134,1.344,0,0,1.533,0.3264985877183806,0
44,4.413,0.56,1.17,1,2,3.906,0.8207971545140705,0
45,3.641,0.331,1.933,0,1,1.565,-0.03188904066326198,1
46,3.073,0.693,1.851,0,2,0.787,0.414583115388639,0
47,3.012,0.223,1.023,0,0,2.193,0.27771424450556176,1
48,3.818,0.693,1.6269999999999998,2,2,2.217,0.5721309760435193,0
49,4.171,0.693,1.6780000000000002,0,2,2.849,0.5019353488858667,0
50,3.734,0.223,1.45,2,1,2.642,0.3961711476095826,0
51,3.734,0.223,1.374,2,2,2.642,0.4742127837639921,0
52,2.126,0.977,0.7709999999999999,0,0,3.795,0.547232974160477,0
53,2.216,0.679,0.764,0,0,2.296,0.36677476723506647,0
54,3.179,0.0,1.063,0,0,2.942,0.42242912438539604,0
55,2.62,0.499,0.99,0,0,3.21,0.4474317397217283,0
56,2.728,0.223,0.953,0,0,1.859,0.3872790040799247,0
57,2.126,0.83,0.899,0,0,3.478,0.4706559263521289,0
58,2.216,0.5820000000000001,0.8390000000000001,0,0,2.127,0.37315618788576216,0
59,2.086,0.64,0.838,0,0,2.127,0.4609268751961502,0
60,2.834,0.134,0.95,0,0,1.859,0.2901977194267183,0
61,2.126,0.405,0.917,4,2,0.411,0.6618893189664191,0
62,3.08,0.405,1.609,1,1,1.619,0.4951354744220107,0
63,1.636,0.64,1.695,0,0,0.408,0.3983680301286746,0
64,2.219,0.604,1.537,0,0,2.026,0.3357045716079088,0
65,1.594,0.223,1.3330000000000002,2,0,0.094,0.6532064023433414,0
66,1.818,0.499,1.4680000000000002,1,0,1.672,0.3654147923422953,0
67,1.5,0.83,1.891,0,0,1.817,0.29992677058269696,0
